"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","log_Grav_Total_Plus_min","log_mpa_area","sqrt_mpa_age","Average.of.substrate_relief_mean","sqrt_live_coral","sqrt_Average.of.depth","mpa_isolation","mpa_compliance","Shark_Sanctuary","location_name"
"reef associated.log_Grav_Total_Plus_min+log_mpa_area+mpa_isolation","log_Grav_Total_Plus_min+log_mpa_area+mpa_isolation",198.283731783081,209.99793142178,0.01795,NA,5,0,0,1.655,0.228,0.087,1,1,0,0,0,0,1,0,0,0
"reef associated.log_Grav_Total_Plus_min+mpa_isolation","log_Grav_Total_Plus_min+mpa_isolation",198.996436719591,208.944710429916,0.00951,NA,4,0,0.713,0.602,0.16,0.147,1,0,0,0,0,0,1,0,0,0
"reef associated.log_Grav_Total_Plus_min+mpa_isolation+Shark_Sanctuary","log_Grav_Total_Plus_min+mpa_isolation+Shark_Sanctuary",200.441133658263,212.155333297048,0.01105,NA,5,0,2.157,3.813,0.078,0.03,1,0,0,0,0,0,1,0,1,0
"reef associated.log_Grav_Total_Plus_min+mpa_isolation+sqrt_mpa_age","log_Grav_Total_Plus_min+mpa_isolation+sqrt_mpa_age",201.004570635385,212.718770274733,0.01513,NA,5,0,2.721,4.376,0.059,0.022,1,0,1,0,0,0,1,0,0,0
"reef associated.log_Grav_Total_Plus_min+mpa_isolation+sqrt_Average.of.depth","log_Grav_Total_Plus_min+mpa_isolation+sqrt_Average.of.depth",201.029568799772,212.743768438796,0.00984,NA,5,0,2.746,4.401,0.058,0.022,1,0,0,0,0,1,1,0,0,0
"reef associated.log_Grav_Total_Plus_min+log_mpa_area","log_Grav_Total_Plus_min+log_mpa_area",201.320394838777,209.423276102143,0.00939,NA,3,0,3.037,1.081,0.05,0.116,1,1,0,0,0,0,0,0,0,0
"reef associated.log_Grav_Total_Plus_min+mpa_isolation+sqrt_live_coral","log_Grav_Total_Plus_min+mpa_isolation+sqrt_live_coral",201.388689255127,213.102888893961,0.00916,NA,5,0,3.105,4.76,0.048,0.018,1,0,0,0,1,0,1,0,0,0
"reef associated.log_Grav_Total_Plus_min","log_Grav_Total_Plus_min",202.160728156192,208.342595608301,0.00034,NA,2,0,3.877,0,0.033,0.199,1,0,0,0,0,0,0,0,0,0
"reef associated.log_Grav_Total_Plus_min+Shark_Sanctuary","log_Grav_Total_Plus_min+Shark_Sanctuary",202.239478393851,210.342359474946,0.00122,NA,3,0,3.956,2,0.032,0.073,1,0,0,0,0,0,0,0,1,0
"reef associated.log_Grav_Total_Plus_min+log_mpa_area+Shark_Sanctuary","log_Grav_Total_Plus_min+log_mpa_area+Shark_Sanctuary",202.373422947859,212.321696658517,0.00964,NA,4,0,4.09,3.979,0.03,0.027,1,1,0,0,0,0,0,0,1,0
"reef associated.Average.of.substrate_relief_mean+log_Grav_Total_Plus_min+log_mpa_area","Average.of.substrate_relief_mean+log_Grav_Total_Plus_min+log_mpa_area",202.537140561027,213.586034742615,0.01689,NA,4.62,0,4.253,5.243,0.027,0.014,1,1,0,1,0,0,0,0,0,0
"reef associated.Average.of.substrate_relief_mean+log_Grav_Total_Plus_min","Average.of.substrate_relief_mean+log_Grav_Total_Plus_min",202.680633409692,212.112212280931,0.00673,NA,3.72,0,4.397,3.77,0.025,0.03,1,0,0,1,0,0,0,0,0,0
"reef associated.log_Grav_Total_Plus_min+log_mpa_area+sqrt_live_coral","log_Grav_Total_Plus_min+log_mpa_area+sqrt_live_coral",203.355385928371,213.303659638716,0.00858,NA,4,0,5.072,4.961,0.018,0.017,1,1,0,0,1,0,0,0,0,0
"reef associated.log_Grav_Total_Plus_min+log_mpa_area+sqrt_Average.of.depth","log_Grav_Total_Plus_min+log_mpa_area+sqrt_Average.of.depth",203.546390510169,213.494664220673,0.00999,NA,4,0,5.263,5.152,0.016,0.015,1,1,0,0,0,1,0,0,0,0
"reef associated.log_Grav_Total_Plus_min+log_mpa_area+sqrt_mpa_age","log_Grav_Total_Plus_min+log_mpa_area+sqrt_mpa_age",203.562393139114,213.510666849471,0.00618,NA,4,0,5.279,5.168,0.016,0.015,1,1,1,0,0,0,0,0,0,0
