"unique_reserve","closed_n","closed_mean","closed_sd","closed_se","open_n","open_mean","open_sd","open_se","es","var","variable"
"Abrolhos",62,0.268064516129032,1.53575403459858,0.195040957435075,28,0.01,0.1,0.01,3.2886425903703,4.1008152157537,"sharks"
"Apo",53,0.293018867924528,0.743623107871341,0.102144489462484,36,0.01,0.1,0.01,3.37765190959657,2.89929524581813,"sharks"
"Ashmore",27,1.40740740740741,1.44805597159298,0.278678501666951,98,0.979591836734694,2.29288272091955,0.231616131489668,0.362368580924792,0.0951118976491028,"sharks"
"Balls Pyramid",12,5.91666666666667,2.93747985163948,0.847977391541577,12,4.91666666666667,3.3967453227875,0.980555913239984,0.185142433135596,0.0603150170275155,"sharks"
"Bazaruto",41,0.536585365853659,0.95125078122464,0.148560413003327,28,0.285714285714286,0.534522483824849,0.101015254455221,0.630233355149376,0.201652892561983,"sharks"
"Bird Cay",18,1.55555555555556,2.14811058490184,0.506314520440897,32,1.40625,2.94967876873223,0.521434464923136,0.100906165308446,0.243433416377304,"sharks"
"Buccoo",26,0.423076923076923,1.06482212310139,0.20882879939228,21,0.428571428571429,1.12122382116278,0.244671096736479,-0.0129034048359078,0.56956228956229,"sharks"
"Bundegi",6,0.333333333333333,0.516397779494322,0.210818510677892,10,0.3,0.674948557710553,0.213437474581095,0.105360515657826,0.906172839506173,"sharks"
"Caye Caulker",81,0.37037037037037,0.641179468722378,0.0712421631913754,80,0.1125,0.35556159892895,0.0397529952696824,1.19155028432738,0.161863259884357,"sharks"
"Cloates",13,1,0.912870929175277,0.253184841770917,9,1.22222222222222,0.97182531580755,0.32394177193585,-0.200670695462151,0.134350497986862,"sharks"
"Conception",31,1.16129032258065,1.29349073424199,0.232317793992368,44,0.5,0.762492851663023,0.114950122467926,0.842678914530909,0.0928746987532517,"sharks"
"Corals Rosario and San Bernardo",95,0.115789473684211,0.321669775653338,0.0330026226340413,99,0.0101010101010101,0.100503781525921,0.0101010101010101,2.43913823133242,1.08123791102515,"sharks"
"Curacao",35,0.2,0.531368931324057,0.0898177426278144,68,0.0294117647058824,0.170213933457599,0.0206414713705158,1.91692261218206,0.694217985701743,"sharks"
"Dutch Reserve",17,0.470588235294118,0.799816155346303,0.193983911151072,52,0.192307692307692,0.486623482040275,0.0674825352438862,0.894886823211001,0.293059129901961,"sharks"
