unique_id,reason
FP_2016_PH_01_MISAC_011,depth
FP_2016_AU-I_01_ASAW_010,depth
FP_2016_AU-I_01_ASAW_009,depth
FP_2016_AU-I_01_ASAW_042,depth
FP_2016_AU-I_01_ASAW_040,depth
FP_2016_AU-I_01_ASAW_041,depth
FP_2016_AU-I_01_ASAW_019,depth
FP_2016_AU-I_01_ASAW_020,depth
FP_2016_AU-I_01_ASAW_006,depth
FP_2016_AU-I_01_ASAE_074,depth
FP_2016_AU-I_01_ASAE_083,depth
FP_2016_AU-I_01_ASAW_028,depth
FP_2016_AU-I_01_ASAW_018,depth
FP_2016_AU-I_01_ASAE_071,depth
FP_2016_AU-I_01_ASAE_076,depth
FP_2016_AU-I_01_ASAE_099,depth
FP_2016_AU-I_01_ASAE_100,depth
FP_2016_AU-I_01_ASAE_103,depth
FP_2016_AU-I_01_ASAE_080,depth
FP_2016_AU-I_01_ASAE_082,depth
FP_2016_AU-I_01_ASAE_101,depth
FP_2016_AU-I_01_ASAE_110,depth
FP_2016_AU-I_01_ASAE_078,depth
FP_2016_AU-I_01_ASAE_084,depth
FP_2016_AU-I_01_ASAE_098,depth
FP_2016_AU-I_01_ASAW_027,depth
FP_2016_AU-I_01_ASAW_104,depth
FP_2016_AU-I_01_ASAE_070,depth
FP_2016_AU-I_01_ASAE_105,depth
FP_2016_AU-I_01_ASAE_073,depth
FP_2016_AU-I_01_ASAE_077,depth
FP_2016_AU-I_01_ASAE_088,depth
FP_2016_AU-I_01_ASAE_106,depth
FP_2016_AU-I_01_ASAE_109,depth
FP_2016_AU-I_01_ASAE_085,depth
FP_2016_AU-I_01_ASAE_081,depth
FP_2016_AU-I_01_ASAE_086,depth
FP_2016_AU-I_01_ASAE_095,depth
FP_2016_AU-I_01_ASAW_021,depth
FP_2016_AU-I_01_ASAE_093,depth
FP_2016_AU-I_01_ASAE_094,depth
FP_2016_AU-I_01_ASAE_059,depth
FP_2016_AU-I_01_ASAE_092,depth
FP_2016_AU-I_01_ASAE_097,depth
FP_2016_AU-I_01_ASAE_067,depth
FP_2016_AU-I_01_ASAE_066,depth
FP_2016_AU-I_01_ASAE_068,depth
FP_2016_AU-I_01_ASAE_058,depth
FP_2016_AU-I_01_ASAE_069,depth
FP_2016_AU-I_01_ASAE_108,depth
FP_2016_AU-I_01_ASAW_007,depth
FP_2016_AU-I_01_ASAW_029,depth
FP_2016_AU-I_01_ASAE_112,depth
FP_2016_AU-I_01_ASAW_013,depth
FP_2016_AU-I_01_ASAE_055,depth
FP_2016_AU-I_01_ASAW_026,depth
FP_2016_AU-I_01_ASAW_033,depth
FP_2016_AU-I_01_ASAE_060,depth
FP_2016_AU-I_01_ASAE_102,depth
FP_2016_AU-I_01_ASAW_052,depth
FP_2016_AU-I_01_ASAW_014,depth
FP_2016_AU-I_01_ASAW_008,depth
FP_2016_AU-I_01_ASAW_063,depth
FP_2016_AU-I_01_ASAE_087,depth
FP_2016_AU-I_01_ASAW_023,depth
HE_2013_AU-P_01_LHBS_020,depth
HE_2013_AU-P_01_LHBS_014,depth
FP_2016_TT_04_TBBS_017,depth
FP_2016_TT_04_TBBS_036,depth
FP_2016_TT_04_TBBS_018,depth
FP_2016_TT_04_TBBS_001,depth
FP_2016_TT_04_TBBS_026,depth
FP_2016_TT_04_TBBS_027,depth
FP_2016_TT_04_TBBS_013,depth
FP_2016_TT_04_TBBS_005,depth
FP_2016_TT_04_TBBS_033,depth
FP_2016_TT_04_TBBS_032,depth
FP_2016_TT_04_TBBS_034,depth
FP_2016_TT_04_TBBS_021,depth
FP_2016_TT_04_TBBS_020,depth
FP_2016_TT_04_TBBS_029,depth
FP_2016_TT_04_TBBS_031,depth
FP_2016_TT_04_TBBS_022,depth
FP_2016_TT_04_TBBS_010,depth
FP_2016_TT_04_TBBN_003,depth
FP_2016_TT_04_TBBN_004,depth
FP_2016_TT_04_TBBN_005,depth
L_2015_DC_01_SXDF_006,depth
L_2015_DC_01_SXDF_013,depth
L_2015_DC_01_SXDF_029,depth
L_2015_DC_01_SXDF_011,depth
HE_2013_AU-P_01_LHLH_031,depth
HE_2013_AU-P_01_LHLH_032,depth
HE_2013_AU-P_01_LHLH_027,depth
HE_2013_AU-P_01_LHLH_028,depth
HE_2013_AU-P_01_LHLH_024,depth
HE_2013_AU-P_01_LHLH_023,depth
HE_2013_AU-P_01_LHLH_026,depth
FP_2017_ID_03_GITO_046,depth
FP_2017_ID_03_GITO_042,depth
FP_2017_ID_03_GIMO_008,depth
FP_2016_ZA_01_SL_iSN_036,depth
FP_2016_ZA_01_SL_iSN_031,depth
FP_2016_ZA_01_SL_iSN_027,depth
FP_2016_ZA_01_SL_iSN_035,depth
FP_2016_ZA_01_SL_iSN_116,depth
FP_2016_ZA_01_SL_iSN_118,depth
FP_2016_ZA_01_SL_iSN_026,depth
FP_2016_ZA_01_SL_iSN_117,depth
FP_2016_ZA_01_SL_iSN_039,depth
FP_2016_ZA_01_SL_iSN_030,depth
FP_2016_ZA_01_SL_iSN_025,depth
FP_2016_ZA_01_SL_iSN_037,depth
FP_2016_ZA_01_SL_iSN_034,depth
FP_2016_ZA_01_SL_iSN_033,depth
FP_2016_ZA_01_SL_iSN_029,depth
FP_2016_ZA_01_SL_iSN_028,depth
FP_2016_ZA_01_SL_iSN_032,depth
FP_2016_ZA_01_SL_iSN_038,depth
FP_2016_ZA_01_SL_iSN_040,depth
FP_2016_ZA_01_SL_iSN_004,depth
FP_2016_ZA_01_SL_iSN_081,depth
FP_2016_ZA_01_SL_iSN_048,depth
FP_2016_ZA_01_SL_iSN_021,depth
FP_2016_ZA_01_SL_iSN_023,depth
FP_2016_AU-P_04_LKHL_014,depth
FP_2016_AU-P_04_LKHL_030,depth
L_2012_DC_01_SBE_031,depth
L_2012_DC_01_SBW_041,depth
L_2012_DC_01_SBW_044,depth
L_2012_DC_01_SBE_027,depth
L_2012_DC_01_SBW_038,depth
L_2012_DC_01_SBW_035,depth
L_2012_DC_01_SBE_023,depth
L_2012_DC_01_SBE_025,depth
L_2012_DC_01_SBE_029,depth
L_2012_DC_01_SBW_036,depth
L_2012_DC_01_SBW_039,depth
L_2012_DC_01_SBE_026,depth
L_2012_DC_01_SBE_030,depth
L_2012_DC_01_SBW_040,depth
L_2012_DC_01_SBW_042,depth
L_2012_DC_01_SBW_043,depth
L_2012_DC_01_SBW_034,depth
L_2012_DC_01_SBW_037,depth
L_2012_DC_01_SBE_024,depth
L_2012_DC_01_SBE_028,depth
L_2015_DC_01_SXFF_030,depth
L_2015_DC_01_SXFF_031,depth
L_2015_DC_01_SXFF_032,depth
FP_2017_JM_02_JMOR_023,depth
FP_2017_JM_02_JMOR_027,depth
FP_2017_JM_02_JMOR_021,depth
FP_2017_JM_02_JMOR_001,depth
FP_2017_JM_02_JMOR_022,depth
FP_2017_JM_02_JMOR_006,depth
FP_2017_JM_02_JMOR_025,depth
FP_2017_JM_02_JMOR_009,depth
FP_2017_JM_02_JMOR_024,depth
FP_2017_JM_02_JMOR_005,depth
FP_2017_JM_02_JMOR_020,depth
FP_2017_JM_02_JMOR_007,depth
FP_2017_BR_01_FNAP_066,depth
FP_2017_BR_01_FNAP_022,depth
FP_2017_BR_01_FNAP_067,depth
FP_2017_BR_01_FNAP_068,depth
L_2013_DC_01_SUR_034,depth
L_2013_DC_01_SUR_023,depth
L_2013_DC_01_SUR_036,depth
L_2013_DC_01_SUR_035,depth
L_2013_DC_01_SUR_038,depth
L_2013_DC_01_SUR_043,depth
L_2013_DC_01_SUR_021,depth
L_2013_DC_01_SUR_026,depth
L_2013_DC_01_SUR_028,depth
L_2013_DC_01_SUR_031,depth
L_2013_DC_01_SUR_039,depth
L_2013_DC_01_SUR_044,depth
L_2013_DC_01_SUR_016,depth
L_2013_DC_01_SUR_002,depth
L_2013_DC_01_SUR_004,depth
L_2013_DC_01_SUR_015,depth
L_2013_DC_01_SUR_001,depth
L_2013_DC_01_SUR_010,depth
L_2013_DC_01_SUR_012,depth
L_2013_DC_01_SUR_014,depth
L_2013_DC_01_SUR_003,depth
L_2013_DC_01_SUR_005,depth
L_2013_DC_01_SUR_011,depth
L_2013_DC_01_SUE_023,depth
L_2013_DC_01_SUE_025,depth
L_2013_DC_01_SUE_026,depth
L_2013_DC_01_SUE_027,depth
L_2013_DC_01_SUE_030,depth
L_2013_DC_01_SUE_033,depth
L_2013_DC_01_SUE_035,depth
L_2013_DC_01_SUE_029,depth
L_2013_DC_01_SUE_032,depth
L_2013_DC_01_SUE_028,depth
FP_2016_PH_01_MISAO_004,visibility
LH_2015_AU-I_06_NCR_011,visibility
LH_2015_AU-I_06_NCR_009,visibility
LH_2015_AU-I_06_NCR_013,visibility
LH_2015_AU-I_06_NCR_008,visibility
LH_2015_AU-I_06_NCR_012,visibility
LH_2015_AU-I_06_NCR_003,visibility
FP_2016_CO_01_BTi_044,visibility
L_2015_DC_01_SXDF_039,visibility
LH_2015_AU-I_01_HAEO_014,visibility
LH_2015_AU-I_01_HAEO_012,visibility
LH_2015_AU-I_01_HAEO_011,visibility
LH_2015_AU-I_01_HAEO_015,visibility
LH_2015_AU-I_01_HAEO_006,visibility
LH_2015_AU-I_01_HAEO_008,visibility
LH_2015_AU-I_01_HAEO_003,visibility
LH_2015_AU-I_01_HAEO_009,visibility
LH_2015_AU-I_01_HAEO_020,visibility
LH_2015_AU-I_01_HAEO_030,visibility
LH_2015_AU-I_01_HAEO_021,visibility
FP_2017_US-P_01_MID_031,visibility
FP_2017_US-P_01_MID_026,visibility
FP_2017_US-P_01_MID_036,visibility
FP_2017_US-P_01_MID_034,visibility
FP_2017_US-P_01_MID_035,visibility
FP_2016_FJ_01_KBNM_007,visibility
FP_2016_FJ_02_KBNSR_038,visibility
FP_2016_FJ_02_KBNSR_036,visibility
FP_2016_FJ_02_KBNSR_035,visibility
LH_2015_AU-I_01_HAPR_002,visibility
LH_2015_AU-I_01_HAPO_014,visibility
LH_2015_AU-I_01_HAPO_015,visibility
LH_2015_AU-I_01_HAPO_021,visibility
LH_2015_AU-I_01_HAPO_020,visibility
LH_2015_AU-I_01_HAPO_011,visibility
LH_2015_AU-I_01_HAPO_003,visibility
LH_2015_AU-I_01_HAPO_012,visibility
LH_2015_AU-I_01_HAPO_006,visibility
LH_2015_AU-I_01_HAPO_027,visibility
FP_2017_LK_02_EPI_015,visibility
FP_2017_LK_02_EPI_021,visibility
FP_2015_MY_01_SSMK_067,visibility
FP_2015_MY_01_SSMK_070,visibility
FP_2015_MY_01_SSMK_065,visibility
L_2013_DC_01_SUR_035,visibility
L_2015_DC_01_SXFR_010,visibility
L_2015_DC_01_SXFR_016,visibility
L_2015_DC_01_SXFF_046,visibility
LH_2015_AU-I_01_HAWR_001,visibility
LH_2015_AU-I_01_HAWO_012,visibility
LH_2015_AU-I_01_HAWO_026,visibility
LH_2015_AU-I_01_HAWO_001,visibility
LH_2015_AU-I_01_HAWO_004,visibility
LH_2015_AU-I_01_HAWO_010,visibility
LH_2015_AU-I_01_HAWO_003,visibility
LH_2015_AU-I_01_HAWO_008,visibility
LH_2015_AU-I_01_HAWO_013,visibility
LH_2015_AU-I_01_HAWO_005,visibility
LH_2015_AU-I_01_HAWO_006,visibility
LH_2015_AU-I_01_HAWO_009,visibility
LH_2015_AU-I_01_HAWO_014,visibility
LH_2015_AU-I_01_HAWO_018,visibility
LH_2015_AU-I_01_HAWO_020,visibility
LH_2015_AU-I_01_HAWO_023,visibility
FP_2016_CO_01_RTe_033,visibility
FP_2016_CO_01_RGr_002,visibility
FP_2016_CO_01_RGr_030,visibility
FP_2016_CO_01_RGr_050,visibility
