"unique_reserve","closed_n","closed_mean","closed_sd","closed_se","open_n","open_mean","open_sd","open_se","es","var","variable","mpa_area","mpa_year_founded","mpa_isolation","mpa_compliance","Average.of.set_latitude","Average.of.set_longitude","Min.of.set_date","mpa_age","region_name","location_name","site","location_id","trip_year","PI","Average.of.depth","Average.of.visibility","Average.of.substrate_relief_mean","Average.of.set_productivity_2017ave","Average.of.hard_coral","Average.of.unconsolidated","Average.of.macroalgae","Average.of.soft_coral","Average.of.consolidated","Average.of.local_population_2010","Average.of.local_population_2015","Average.of.population_proporationaldifference_2010.15","Live_Coral","Shark_Protection_Status","Shark_fishing_restrictions","Shark_fishing_restrictions_cat","Shark_gears","Average.of.set_productivity_2017ave.1","Average.of.local_population_2010.1","Average.of.local_population_2015.1","Average.of.population_proporationaldifference_2010.15.1","Average.of.Grav_NC","Average.of.Grav_Total","Average.of.Grav_Cities","Average.of.Grav_NP","trip_id","Fisheries_Management","Unique_ID","FP_location_name","CoastLength","FP_location_code","EPI","Ehealth","EcoVitality","EPI_location_name","TradeHub","GINI_location_name","GINI_year","GINI","HDI_location_name","HDI_year","HDI","WGI_location_name","Voice_Accountability_year","Voice_Accountability","Government_Effectiveness_year","Government_Effectiveness","Regulatory_Quality_year","Regulatory_Quality","Rule_of_Law_year","Rule_of_Law","Control_Corruption_year","Control_Corruption","GDP_location_name","GDP_year","GDP_per_capita_USD","Population_location_name","Population_year","Population","SAUP_EEZ_name","Catch_year","Total_catch_tonnes","Total_catch_reported_only","Total_catch_value","Reef_catch_tonnes","Reef_catch_value","Tuna_catch_tonnes","Tuna_catch_value","Reefshark_catch_tonnes","Reefshark_catch_value","Shark_catch_tonnes","Shark_catch_value","Bechedemer_catch_tonnes","Bechedemer_catch_value","colin_SAUP_reef_sharks_catch_2016.2014","tax_haven","Shark_Sanctuary","log_mpa_area","log_GDP_per_capita_USD","sqrt_mpa_age","sqrt_Average.of.depth","sqrt_live_coral","log_Average.of.Grav_NC","log_Average.of.Grav_NP","log_Grav_Total_Plus_min","log_Reefshark_catch_tonnes","log_Average.of.local_population_2015","response"
"Abrolhos",62,0.274964516129032,1.53575403459858,0.195040957435075,28,0.0169,0.13,0.0169,2.7893284351541,2.61642233912704,"reef associated",913,1983,"<20km to next reef","high",-17.96898243,-38.70319914,"23/01/2018",35.08493151,"Western Atlantic","Brazil","Abrolhos",75,2018,"Chapman",14.56451613,4.387096774,1.212001695,0.32036,1.9,28.08333333,35.21666667,1.666666667,24.65,620057.3729,669802.8831,0.080361873,3.738095238,"Restricted","Species","Limited","Hook & Line; Drumline; Longline; Seine; Gillnet; Trawl; Spear; Trap",0.32036,620057.3729,669802.8831,0.080361873,1.637553921,22.35706341,0.637553921,1.067485128,"FP_2018_BR_01","Ineffective",10,"Brazil",7491,"BR",60.7,67.44,56.21,"Brazil",1,"Brazil",2018,53.3,"Brazil",2015,0.754,"Brazil",2016,0.46903652,2016,-0.175861731,2016,-0.20738399,2016,-0.08087071,2016,-0.443444788,"Brazil",2016,8649.948492,"Brazil",2016,207652865,"Brazil (mainland), Fernando de Noronha (Brazil), Trindade & Martim Vaz Isl. (Brazil), St Paul and St. Peter Archipelago (Brazil)","2009-2014",889528.7905,539584.6563,2322749048,142139.9832,565454652.2,40052.56601,112772900.8,375.0858229,616004.2956,87841.47616,206236483.4,0,0,"#N/A",0,0,6.81673588059497,9.06530864522611,5.92325345650513,3.81634853361168,1.93341543337173,0.493203616840089,0.0653055344076716,3.10714230737225,5.92715486085238,13.4147387437522,2.7893284351541
"Apo",53,0.262183018867924,0.617241393290106,0.0847846258748035,36,0.0169,0.13,0.0169,2.74172918326029,1.74822982123269,"reef associated",34,2007,"<20km to next reef","medium",12.67387734,120.4580086,"16/01/2016",9.046575342,"Coral Triangle","Philippines","Apo",74,2016,"Simpfendorfer",17.53263158,6.936842105,0.931065263,0.178489481,19.36842105,38.21052632,1.042105263,3.736842105,37.34736842,2177680.737,2441516.48,0.122067971,23.10526316,"Restricted","Species","Limited","Hook & Line; Longline; Drumline; Gillnet; Spear; Trap",0.178551116,2180889.977,2444842.348,0.121948052,49.07530156,248.06744976,60.49660375,1.217628828,"FP_2016_PH_01","Ineffective",52,"Philippines",36289,"PH",57.65,55.64,58.99,"Philippines",1,"Philippines",2015,40.1,"Philippines",2015,0.682,"Philippines",2016,0.143323645,2016,-0.012589766,2016,-0.004051456,2016,-0.395716161,2016,-0.528784275,"Philippines",2016,2951.071929,"Philippines",2016,103320222,"Philippines","2009-2014",2047134.095,873926.0578,2702195154,307193.9999,728075810.2,209017.9654,259626421.2,84.22986061,122014.9757,2977.747608,6021153.131,0,0,"15628.5883",1,0,3.52636052461616,7.98992374909523,3.00775254002054,4.18719853601426,4.8067934384577,3.89335588502393,0.19690538392911,5.51370068402524,4.43354949745234,14.7081299124099,2.74172918326029
"Ashmore",27,1.33333333333333,1.44115338424578,0.277350098112615,98,0.979591836734694,2.29288272091955,0.231616131489668,0.308301359654517,0.0991737983522777,"reef associated",583,2004,">20km to next reef","high",-12.22433922,123.0826365,"22/01/2016",12.07945205,"Indian Ocean","Australia-Indian Ocean","Ashmore",85,2016,"Meekan",19.42765152,9.356060606,2.136990038,0.164999435,21.65900383,33.53639847,1.398467433,3.494252874,38.76245211,0.081597572,0.081603517,7.49e-05,25.1532567,"Restricted","Size; Bag; Entrants; Species","Extensive","Hook & Line",0.16499991,0.082526194,0.082531705,6.89e-05,1.260021378,1.357234083,0.219600401,1.0000841,"FP_2016_AU-I_02","Effective",4,"Australia-Indian Ocean",12880,"AU-I",74.12,97.95,58.23,"Australia-Indian Ocean",1,"Australia",2014,35.8,"Australia",2015,0.939,"Australia",2016,1.300534725,2016,1.584797382,2016,1.897101283,2016,1.752019286,2016,1.770847321,"Australia",2016,49755.31548,"Australia",2016,24127159,"Australia","2009-2014",183231.9823,135948.0497,1082049379,45450.05135,270803344.8,17583.85811,64038265.4,1021.379785,1563714.648,9143.549442,29618098.6,1204.394097,3035073.124,"66347.90523",0,0,6.36818718635049,10.8148725806984,3.47555061105431,4.40768096849125,5.01530225410194,0.231128687486121,8.40964637932933e-05,0.305448866344714,6.92890972255499,-2.50588291745068,0.308301359654517
"Balls Pyramid",12,5.91666666666667,2.93747985163948,0.847977391541577,12,4.91666666666667,3.3967453227875,0.980555913239984,0.185142433135596,0.0603150170275155,"reef associated",856.5,2004,"<20km to next reef","high",-31.79475968,159.2624991,"27/04/2013",9.326027397,"Pacific","Australia-Pacific","Lord Howe",73,2013,"Heupel",34.259375,10,1.824028125,0.181074545,9.34375,24.1875,1.46875,12.4375,51.1875,499.7960972,499.9230837,0.000254077,21.78125,"Restricted","Gear; Species; Bag","Moderate","Hook & Line",0.181074545,499.7960972,499.9230837,0.000254077,1.107324457,0.03448276,0,1.031271439,"HE_2013_AU-P_01","Effective",5,"Australia-Pacific",12880,"AU-P",74.12,97.95,58.23,"Australia-Pacific",1,"Australia",2014,35.8,"Australia",2015,0.939,"Australia",2016,1.300534725,2016,1.584797382,2016,1.897101283,2016,1.752019286,2016,1.770847321,"Australia",2016,49755.31548,"Australia",2016,24127159,"Australia","2009-2014",183231.9823,135948.0497,1082049379,45450.05135,270803344.8,17583.85811,64038265.4,1021.379785,1563714.648,9143.549442,29618098.6,1204.394097,3035073.124,"66347.90523",0,0,6.75285431776417,10.8148725806984,3.0538545147076,5.85315086086118,4.66703867564862,0.101946706536621,0.0307924477839918,-3.36729578998647,6.92890972255499,6.21445425398874,0.185142433135596
"Bazaruto",41,0.317073170731707,0.567407454579331,0.0886141567052924,28,0.178571428571429,0.39002102778748,0.073707046115106,0.574143888498333,0.24847687924611,"reef associated",1430,2001,"continuous","low",-21.53956912,35.49372786,"12/08/2016",15.62191781,"Indian Ocean","Mozambique","Bazaruto",69,2016,"Meekan",16.12380952,9.855421687,1.506359036,0.21050818,15.13253012,32.42168675,5.879518072,0.638554217,41.57831325,380350.4541,412790.9038,0.08539146,15.77108434,"Restricted","Species","Limited","Hook & Line; Seine",0.210909662,380263.803,412665.8025,0.085315874,1.504029729,27.01999001,4.614949248,1.00139151,"FP_2016_MZ_01","Ineffective",44,"Mozambique",1235,"MZ",46.37,46.36,46.37,"Mozambique",0,"Mozambique",2014,54,"Mozambique",2015,0.418,"Mozambique",2016,-0.393606186,2016,-0.852751672,2016,-0.704601526,2016,-1.018081427,2016,-0.865561306,"Mozambique",2016,382.0693304,"Mozambique",2016,28829476,"Mozambique","2009-2014",160413.1229,144032.9983,218804921,27614.30729,89099910.82,4639.631511,12628003.64,23.21207303,21003.15717,962.0229822,1778054.532,0,0,"10856.60043",0,0,7.26542972325395,5.9456020853324,3.95245718635889,4.01544636622132,3.97128245532851,0.408147991954631,0.00139054274715058,3.29657696280586,3.14467253254089,12.9306964575385,0.574143888498333
"Bird Cay",18,1.27777777777778,2.10896003240949,0.497086646722718,32,1.21875,2.90421690072412,0.513397866134651,0.0472967147030651,0.328791098583098,"reef associated",15.5,2012,">20km to next reef","medium",16.99517614,-77.80689636,"9/05/2017",5.35,"Western Atlantic","Jamaica","Pedro Bank",7,2017,"Chapman",10.72,8.227272727,3.022454545,0.10473346,5,27.5,0.909090909,41.18181818,24.45454545,74385.03462,75563.27949,0.015917409,46.18,"Open","Area","Limited","Hook & Line; Drumline; Longline; Seine; Gillnet; Trawl; Spear; Trap",0.10473346,74385.03462,75563.27949,0.015917409,1.059787274,15.67448276,8.314234262,1.000018844,"FP_2017_JM_01","Ineffective",32,"Jamaica PB",0,"JM",58.58,68.48,51.98,"Jamaica",0,"Jamaica",2004,45.5,"Jamaica",2015,0.73,"Jamaica",2016,0.685919404,2016,0.412154436,2016,0.163832545,2016,-0.251835763,2016,-0.16090095,"Jamaica",2016,4878.575791,"Jamaica",2016,2881355,"Jamaica","2009-2014",33552.15714,15711.5237,54248456.52,9735.157339,28389544.31,68.21416724,94506.66016,1,0,838.6138235,1229407.865,0,0,"7789.302507",1,0,2.7408400239252,8.49260861014527,2.31300670124408,3.27414110874898,6.7955868032128,0.0580682030784052,1.88438224540248e-05,2.7520340882074,0,11.2327257231352,0.0472967147030651
"Buccoo",26,0.384615384615385,0.897860705317838,0.176084971419378,21,0.380952380952381,0.920662287496912,0.200904981997419,0.00956945101615089,0.487725,"reef associated",5.85,1973,"continuous","medium",11.18440733,-60.8373121,"5/11/2016",43.8739726,"Western Atlantic","Trinidad and Tobago","Buccoo",11,2016,"Chapman",13.05479452,5.219178082,0.959698611,2.773316496,3.888888889,40.34722222,1.805555556,14.75,36.95833333,1376114.83,1412930.044,0.026753935,18.63888889,"Open","Area","Limited","Hook & Line; Drumline; Longline; Seine; Gllnet; Spear; Trap",2.773898493,1374002.477,1410789.62,0.026773156,1.691844669,77.40761709,4.516163307,1.303237386,"FP_2016_TT_04","None",68,"Trinidad and Tobago",362,"TT",67.36,81.44,57.96,"Trinidad and Tobago",1,"",NA,-999,"Trinidad and Tobago",2015,0.78,"Trinidad and Tobago",2016,0.601268888,2016,0.223157614,2016,0.086597867,2016,-0.162937313,2016,-0.261942238,"Trinidad and Tobago",2016,16040.52424,"Trinidad and Tobago",2016,1364962,"Trinidad & Tobago","2009-2014",20253.52975,13896.3353,43773003.74,6605.029101,23715466.96,518.6824755,1624479.146,2.245112294,1324.493477,1109.842774,947988.5406,0,0,"#N/A",1,0,1.76644166124377,9.68287356417819,6.62374309586355,3.61314191805415,4.31727794912489,0.525819453778371,0.264851465739514,4.34908518776904,0.808755539542388,14.1611761515946,0.00956945101615089
"Bundegi",6,0.0169,0.13,0.0169,10,0.1169,0.316227766016838,0.1,-1.934005246549,10.5936968337718,"reef associated",11.86,2005,"continuous","high",-21.86584586,114.1672208,"14/05/2014",9.369863014,"Indian Ocean","Australia-Indian Ocean","Ningaloo",85,2014,"Harvey",8.238888889,2,1.2234375,0.361872727,7.875,68.4375,15.3125,0,2.0625,4963.383836,4963.66161,5.6e-05,7.875,"Restricted","Size; Bag; Entrants; Species; Gear","Extensive","Hook & Line",0.361872727,4964.370915,4964.648622,5.59e-05,1.119033523,15.34698276,0,3.10291029,"LH_2014_AU-I_02","Effective",4,"Australia-Indian Ocean",12880,"AU-I",74.12,97.95,58.23,"Australia-Indian Ocean",1,"Australia",2014,35.8,"Australia",2015,0.939,"Australia",2016,1.300534725,2016,1.584797382,2016,1.897101283,2016,1.752019286,2016,1.770847321,"Australia",2016,49755.31548,"Australia",2016,24127159,"Australia","2009-2014",183231.9823,135948.0497,1082049379,45450.05135,270803344.8,17583.85811,64038265.4,1021.379785,1563714.648,9143.549442,29618098.6,1204.394097,3035073.124,"66347.90523",0,0,2.47317139356958,10.8148725806984,3.06102319723324,2.87034647542766,2.80624304008046,0.112465386879269,1.13234047431677,2.73091889184574,6.92890972255499,8.50989897518543,-1.934005246549
"Caye Caulker",81,0.358024691358025,0.59809367943719,0.0664548532707989,80,0.1125,0.35556159892895,0.0397529952696824,1.1576487326517,0.159316291988994,"reef associated",15.45,1998,"continuous","high",17.7070037,-88.00565109,"19/04/2013",15.30684932,"Western Atlantic","Belize","Belize",1,2013,"Chapman",7.654581006,6.622222222,1.866944444,0.307028569,0,37.31111111,0,44.02222222,17.86666667,619005.4745,705754.9086,0.141661197,44.02222222,"Restricted","Temporal; Entrants; Species","Moderate","Hook & Line; Drumline; Longline; Seine; Gillnet; Spear; Trap",0.306119686,617090.1151,703438.6589,0.141430309,5.977566137,77.76740201,24.25100361,1.04286216,"LC_2013_BZ_01","Effective",8,"Belize",386,"BZ",57.79,65.09,52.93,"Belize",0,"Belize",1999,53.3,"Belize",2015,0.706,"Belize",2016,0.669242859,2016,-0.676089704,2016,-0.51242882,2016,-0.86176306,2016,-0.24498421,"Belize",2016,4744.736397,"Belize",2016,366954,"Belize","2009-2014",7728.410136,4666.049394,12594139.11,2746.67807,8934483.472,1.001695353,1192.01747,430.5054577,233838.1408,1666.799394,1109651.277,0,0,"7242.997333",1,0,2.73760900334375,8.4647911556547,3.91239687659624,2.76669134635579,6.6349244321243,1.78801348461368,0.0419690100463637,4.35372234607968,6.06496000137163,13.4670233012456,1.1576487326517
"Cloates",13,0.923076923076923,0.954073587443029,0.264612403083978,9,1.11111111111111,0.927960727138337,0.309320242379446,-0.185403223331363,0.159675925925926,"reef associated",447.52,2005,"continuous","high",-22.71622083,113.6690833,"20/08/2015",10.63835616,"Indian Ocean","Australia-Indian Ocean","Ningaloo",85,2015,"Harvey",10.17647059,4.818181818,3.152824242,0.315544118,28.6969697,5.878787879,19.93939394,0.606060606,44.48484848,2706.454488,2706.499064,4.88e-05,29.3030303,"Restricted","Size; Bag; Entrants; Species; Gear","Extensive","Hook & Line",0.315796753,2622.940155,2622.986413,5.12e-05,1.143243964,0.248768474,0,1.005137502,"LH_2015_AU-I_06","Effective",4,"Australia-Indian Ocean",12880,"AU-I",74.12,97.95,58.23,"Australia-Indian Ocean",1,"Australia",2014,35.8,"Australia",2015,0.939,"Australia",2016,1.300534725,2016,1.584797382,2016,1.897101283,2016,1.752019286,2016,1.770847321,"Australia",2016,49755.31548,"Australia",2016,24127159,"Australia","2009-2014",183231.9823,135948.0497,1082049379,45450.05135,270803344.8,17583.85811,64038265.4,1021.379785,1563714.648,9143.549442,29618098.6,1204.394097,3035073.124,"66347.90523",0,0,6.10372122945365,10.8148725806984,3.26164930058399,3.19005808567806,5.41322734604783,0.133869803856982,0.0051243500627701,-1.39123263836443,6.92890972255499,7.90341122040287,-0.185403223331363
