unique_reserve,mpa_area,mpa_year_founded,mpa_isolation,mpa_compliance,Average of set_latitude,Average of set_longitude,Min of set_date,mpa_age,region_name,location_name,site,location_id,trip_year,PI,Average of depth,Average of visibility,Average of substrate_relief_mean,Average of set_productivity_2017ave,Average of hard_coral,Average of unconsolidated,Average of macroalgae,Average of soft_coral,Average of consolidated,Average of local_population_2010,Average of local_population_2015,Average of population_proporationaldifference_2010.15,Live_Coral,Shark_Protection_Status,Shark_fishing_restrictions,Shark_fishing_restrictions_cat,Shark_gears,Average of set_productivity_2017ave,Average of local_population_2010,Average of local_population_2015,Average of population_proporationaldifference_2010.15,Average of Grav_NC,Average of Grav_Total,Average of Grav_Cities,Average of Grav_NP,trip_id,Fisheries_Management
Palasar,20,2008,<20km to next reef,medium,17.51837043,-61.75866085,8/12/2016,8.942465753,Western Atlantic,Antigua and Barbuda,Palasar,115,2016,Heithaus,12.98426966,9.011235955,1.693605618,0.136990649,1.25,16.04545455,1.375,8.159090909,69.73863636,323594.9811,348588.9269,0.077240935,9.409090909,Restricted,Gear,Limited,Hook & Line; Spear; Traps; Longline,0.136401957,323943.5517,348962.052,0.07723363,0.818853842,8.5,1.636560971,0.147437475,FP_2016_AG_01,Ineffective
Ashmore,583,2004,>20km to next reef,high,-12.22433922,123.0826365,22/01/2016,12.07945205,Indian Ocean,Australia-Indian Ocean,Ashmore,85,2016,Meekan,19.42765152,9.356060606,2.136990038,0.164999435,21.65900383,33.53639847,1.398467433,3.494252874,38.76245211,0.081597572,0.081603517,7.49E-05,25.1532567,Restricted,Size; Bag; Entrants; Species,Extensive,Hook & Line,0.16499991,0.082526194,0.082531705,6.89E-05,0.260021378,1.322751323,0.219600401,8.41E-05,FP_2016_AU-I_02,Effective
Bundegi,11.86,2005,continuous,high,-21.86584586,114.1672208,14/05/2014,9.369863014,Indian Ocean,Australia-Indian Ocean,Ningaloo,85,2014,Harvey,8.238888889,2,1.2234375,0.361872727,7.875,68.4375,15.3125,0,2.0625,4963.383836,4963.66161,5.60E-05,7.875,Restricted,Size; Bag; Entrants; Species; Gear,Extensive,Hook & Line,0.361872727,4964.370915,4964.648622,5.59E-05,0.119033523,15.3125,0,2.10291029,LH_2014_AU-I_02,Effective
Cloates,447.52,2005,continuous,high,-22.71622083,113.6690833,20/08/2015,10.63835616,Indian Ocean,Australia-Indian Ocean,Ningaloo,85,2015,Harvey,10.17647059,4.818181818,3.152824242,0.315544118,28.6969697,5.878787879,19.93939394,0.606060606,44.48484848,2706.454488,2706.499064,4.88E-05,29.3030303,Restricted,Size; Bag; Entrants; Species; Gear,Extensive,Hook & Line,0.315796753,2622.940155,2622.986413,5.12E-05,0.143243964,0.214285714,0,0.005137502,LH_2015_AU-I_06,Effective
Easter,22.29,1994,continuous,high,-28.678561,113.850566,17/05/2015,21.38630137,Indian Ocean,Australia-Indian Ocean,Abrolhos,85,2015,Harvey,14.7375,4.945945946,2.392408108,0.332954546,41.75675676,6.459459459,17.83783784,0.594594595,24.97297297,66285.40138,66292.07607,0.000100696,42.35135135,Restricted,Size; Bag; Entrants; Species; Gear,Extensive,Hook & Line,0.332954546,66285.40138,66292.07607,0.000100696,3.35318646,3.425,3.418987591,0.000975402,LH_2015_AU-I_01,Effective
Lighthouse,11.86,2005,continuous,high,-21.78557045,114.156273,15/05/2014,9.37260274,Indian Ocean,Australia-Indian Ocean,Ningaloo,85,2014,Harvey,8.724137931,3.75862069,1.533355172,0.313831661,0,21.65517241,43.27586207,0.24137931,34.62068966,4898.902497,4899.173372,5.53E-05,0.24137931,Restricted,Size; Bag; Entrants; Species; Gear,Extensive,Hook & Line,0.31418911,4899.175947,4899.446774,5.53E-05,0.11746678,8.708333333,0,1.642139613,LH_2014_AU-I_02,Effective
Mandu,13.49,2005,continuous,high,-22.11807,113.86849,18/08/2015,10.63287671,Indian Ocean,Australia-Indian Ocean,Ningaloo,85,2015,Harvey,9.36,7.466666667,3.690126667,0.306702364,51,5.4,0,1.666666667,41.26666667,4907.738718,4907.988548,0.0000509,52.66666667,Restricted,Size; Bag; Entrants; Species; Gear,Extensive,Hook & Line,0.306600979,4903.760335,4904.009796,5.09E-05,0.122798807,1.615384615,0,0.546510211,LH_2015_AU-I_06,Effective
Maud,21.51,2005,continuous,high,-23.09501579,113.7359368,22/08/2015,10.64383562,Indian Ocean,Australia-Indian Ocean,Ningaloo,85,2015,Harvey,8.392,5.833333333,1.815275,0.316360728,0,37.08333333,24.5,0.5,37.625,710.2249925,710.2898231,0.000089964,0.5,Restricted,Size; Bag; Entrants; Species; Gear,Extensive,Hook & Line,0.31812512,704.6650054,704.7287775,8.92E-05,0.156914974,0,0,0.001758637,LH_2015_AU-I_06,Effective
North,2.78,1994,continuous,high,-28.332902,113.602918,22/05/2015,21.4,Indian Ocean,Australia-Indian Ocean,Abrolhos,85,2015,Harvey,9.894736842,5.611111111,2.045955556,0.387986364,11.38888889,4.555555556,57.22222222,0,26.55555556,61915.16729,61920.53962,8.68E-05,11.38888889,Restricted,Size; Bag; Entrants; Species; Gear,Extensive,Hook & Line,0.387986364,61915.16729,61920.53962,8.68E-05,2.811485664,3,2.866843259,7.10E-05,LH_2015_AU-I_01,Effective
North Monte,280,2007,continuous,high,-20.35407085,115.5081998,29/10/2014,7.830136986,Indian Ocean,Australia-Indian Ocean,Montebellos,85,2014,Harvey,10.84230769,2.818181818,1.733495455,0.88949496,1.818181818,26.59090909,11.81818182,34.95454545,22.27272727,30721.16306,30726.44841,0.000172006,36.77272727,Restricted,Size; Bag; Entrants; Species; Gear,Extensive,Hook & Line,0.891106853,30778.27296,30783.57537,0.000172238,0.091075951,0,0,0.000585084,LH_2014_AU-I_04,Effective
