set_id,unique_reserve
12,MNP-13-1019
13,MNP-13-1019
14,MNP-13-1019
15,MNP-13-1019
16,MNP-13-1019
667,Kapoposang 1
668,Kapoposang 1
669,Kapoposang 1
671,Kapoposang 1
672,Kapoposang 1
673,Kapoposang 2
674,Kapoposang 2
675,Kapoposang 2
676,Kapoposang 2
677,Kapoposang 2
678,Kapoposang 2
679,Kapoposang 2
680,Kapoposang 2
681,Kapoposang 2
682,Kapoposang 2
683,Kapoposang 2
684,Kapoposang 2
685,Kapoposang 2
686,Kapoposang 2
687,Kapoposang 2
688,Kapoposang 2
689,Kapoposang 2
690,Kapoposang 2
691,Kapoposang 2
692,Kapoposang 2
693,Kapoposang 2
694,Kapoposang 2
695,Kapoposang 2
696,Kapoposang 2
697,Kapoposang 2
698,Kapoposang 2
699,Kapoposang 2
700,Kapoposang 2
702,Kapoposang 2
703,Kapoposang 2
704,Kapoposang 2
705,Kapoposang 2
706,Kapoposang 2
707,Kapoposang 2
708,Kapoposang 2
709,Kapoposang 2
710,Kapoposang 2
711,Kapoposang 2
712,Kapoposang 2
713,Kapoposang 2
714,Kapoposang 2
715,Kapoposang 2
716,Kapoposang 1
718,Kapoposang 1
719,Kapoposang 1
720,Kapoposang 1
721,Kapoposang 1
722,Kapoposang 1
723,Kapoposang 1
724,Kapoposang 1
725,Kapoposang 1
726,Kapoposang 1
727,Kapoposang 1
728,Kapoposang 1
729,Kapoposang 1
730,Kapoposang 1
731,Kapoposang 1
732,Kapoposang 1
733,Kapoposang 1
734,Kapoposang 1
735,Kapoposang 1
736,Kapoposang 1
737,Kapoposang 1
738,Kapoposang 1
739,Kapoposang 1
740,Kapoposang 1
741,Kapoposang 1
742,Kapoposang 1
743,Kapoposang 1
744,Kapoposang 1
745,Kapoposang 1
746,Kapoposang 1
747,Kapoposang 1
748,Kapoposang 1
749,Kapoposang 1
750,Kapoposang 1
751,Kapoposang 1
752,Kapoposang 1
753,Kapoposang 1
754,Kapoposang 1
755,Kapoposang 1
756,Kapoposang 1
757,Kapoposang 1
758,Kapoposang 1
759,Kapoposang 1
760,Kapoposang 1
761,Kapoposang 1
762,Kapoposang 1
763,Kapoposang 1
764,Kapoposang 1
765,Kapoposang 1
766,Kapoposang 1
767,Kapoposang 1
768,Kapoposang 1
769,Kapoposang 1
770,Kapoposang 1
771,Kapoposang 1
772,Kapoposang 1
773,Kapoposang 1
774,Kapoposang 1
775,Kapoposang 1
776,Kapoposang 2
777,Kapoposang 2
778,Kapoposang 2
779,Kapoposang 2
780,Kapoposang 2
781,Kapoposang 2
782,Kapoposang 2
783,Kapoposang 2
784,Kapoposang 2
785,Kapoposang 2
786,Kapoposang 2
787,Kapoposang 2
788,Kapoposang 2
789,Kapoposang 2
791,Kapoposang 2
792,Kapoposang 2
793,Kapoposang 2
794,Kapoposang 2
795,Kapoposang 2
796,Kapoposang 2
797,Kapoposang 2
798,Kapoposang 2
799,Kapoposang 2
800,Kapoposang 2
801,Kapoposang 2
802,Kapoposang 2
803,Kapoposang 2
804,Kapoposang 2
805,Kapoposang 2
806,Kapoposang 2
807,Kapoposang 2
808,Kapoposang 2
809,Kapoposang 2
810,Kapoposang 2
811,Kapoposang 2
812,Kapoposang 2
813,Kapoposang 2
814,Kapoposang 2
815,Kapoposang 2
816,Kapoposang 2
817,Kapoposang 2
818,Kapoposang 2
819,Kapoposang 2
820,Kapoposang 2
821,Kapoposang 2
823,Kapoposang 2
824,Kapoposang 2
826,Kapoposang 2
827,Kapoposang 2
828,Kapoposang 2
829,Kapoposang 2
830,Kapoposang 2
831,Kapoposang 2
833,Kapoposang 2
834,Kapoposang 2
835,Kapoposang 2
837,Kapoposang 2
838,Kapoposang 2
839,Kapoposang 2
840,Kapoposang 2
841,Kapoposang 2
842,Kapoposang 2
843,Kapoposang 2
844,Kapoposang 2
845,Kapoposang 2
846,Kapoposang 2
847,Kapoposang 2
848,Kapoposang 2
849,Kapoposang 2
850,Kapoposang 2
851,Kapoposang 2
852,Kapoposang 2
853,Kapoposang 2
854,Kapoposang 2
855,Kapoposang 2
856,Kapoposang 2
857,Kapoposang 2
858,Kapoposang 2
859,Kapoposang 2
860,Kapoposang 2
861,Kapoposang 2
862,Kapoposang 2
863,Kapoposang 2
864,Kapoposang 2
1064,Sipadan
1065,Sipadan
1066,Sipadan
1067,Sipadan
1068,Sipadan
1069,Sipadan
1070,Sipadan
1071,Sipadan
1072,Sipadan
1074,Sipadan
1075,Sipadan
1076,Sipadan
1077,Sipadan
1078,Sipadan
1079,Sipadan
1080,Sipadan
1081,Sipadan
1082,Sipadan
1084,Sipadan
1085,Sipadan
1086,Sipadan
1087,Sipadan
1088,Sipadan
1089,Sipadan
1090,Sipadan
1091,Sipadan
1092,Sipadan
1093,Sipadan
1094,Sipadan
1095,Sipadan
1096,Sipadan
1097,Sipadan
1098,Sipadan
1099,Sipadan
1100,Sipadan
1101,Sipadan
1102,Sipadan
1103,Sipadan
1104,Sipadan
1106,Sipadan
1107,Sipadan
1108,Sipadan
1109,Sipadan
1110,Sipadan
1111,Sipadan
1112,Sipadan
1113,Sipadan
1114,Sipadan
1115,Sipadan
1116,Sipadan
1117,Sipadan
1118,Sipadan
1119,Sipadan
1120,Sipadan
1121,Sipadan
1122,Sipadan
1123,Sipadan
1124,Sipadan
1125,Sipadan
1126,Sipadan
1127,Sipadan
1128,Sipadan
1129,Sipadan
1130,Sipadan
1131,Sipadan
1132,Sipadan
1133,Sipadan
1135,Sipadan
1136,Sipadan
1137,Sipadan
1138,Sipadan
1139,Sipadan
1140,Sipadan
1141,Sipadan
1142,Sipadan
1143,Sipadan
1144,Sipadan
1145,Sipadan
1147,Sipadan
1148,Sipadan
1149,Sipadan
1150,Sipadan
1152,Sipadan
1153,Sipadan
1154,Sipadan
1155,Sipadan
1156,Sipadan
1157,Sipadan
1604,MNP-23-1164
1605,MNP-23-1164
1606,MNP-23-1164
1607,MNP-23-1164
1608,MNP-23-1164
1609,MNP-23-1164
1610,MNP-23-1164
1611,MNP-23-1164
1612,MNP-23-1164
1613,MNP-23-1164
1614,MNP-23-1164
1615,MNP-23-1164
1616,MNP-23-1164
1617,MNP-23-1164
1618,MNP-23-1164
1619,MNP-23-1164
1620,MNP-23-1164
1621,MNP-23-1164
1622,MNP-23-1164
1623,MNP-23-1164
1624,MNP-23-1164
1625,MNP-23-1164
1626,MNP-23-1164
1627,MNP-23-1164
1628,MNP-23-1164
1629,MNP-23-1164
1630,MNP-23-1164
1631,MNP-23-1164
1632,MNP-23-1164
1633,MNP-23-1164
1634,MNP-23-1164
1635,MNP-23-1164
1636,MNP-23-1164
1637,MNP-23-1164
1638,MNP-23-1164
1639,MNP-23-1164
1640,MNP-23-1164
1641,MNP-23-1164
1642,MNP-23-1164
1644,MNP-23-1164
1645,MNP-23-1164
1646,MNP-23-1164
1648,MNP-23-1164
1649,MNP-23-1164
1650,MNP-23-1164
1651,MNP-23-1164
1652,MNP-23-1164
1653,MNP-23-1164
1654,MNP-23-1164
1655,MNP-23-1164
1656,MNP-23-1164
1657,MNP-23-1164
1658,MNP-23-1164
1659,MNP-23-1164
1660,MNP-23-1164
1661,MNP-23-1164
1662,MNP-23-1164
1663,MNP-23-1164
1664,MNP-23-1164
1665,MNP-23-1164
1666,MNP-23-1164
1667,MNP-23-1164
1668,MNP-23-1164
1669,MNP-23-1164
1670,MNP-23-1164
1671,MNP-23-1164
1672,MNP-23-1164
1673,MNP-23-1164
1674,MNP-23-1164
1675,MNP-23-1164
1676,MNP-23-1164
1677,MNP-23-1164
1678,MNP-23-1164
1679,MNP-23-1164
1680,MNP-23-1164
1681,MNP-23-1164
1682,MNP-23-1164
1683,MNP-23-1164
1684,MNP-23-1164
1685,MNP-23-1164
1686,MNP-23-1164
1687,MNP-23-1164
1689,MNP-23-1164
1690,MNP-23-1164
1691,MNP-23-1164
1692,MNP-23-1164
1693,MNP-23-1164
1694,MNP-23-1164
1695,MNP-23-1164
1696,MNP-23-1164
1697,MNP-23-1164
1698,MNP-23-1164
1699,MNP-23-1164
1700,MNP-23-1164
1701,MNP-23-1164
1702,MNP-23-1164
1703,MNP-23-1164
1704,MNP-23-1164
1705,MNP-23-1164
1706,MNP-23-1164
1707,MNP-23-1164
1708,MNP-23-1164
1709,MNP-23-1164
1710,MNP-23-1164
1711,MNP-23-1164
1712,MNP-23-1164
1713,MNP-23-1164
1714,MNP-23-1164
1715,MNP-23-1164
1716,MNP-23-1164
1717,MNP-23-1164
1718,MNP-23-1164
1719,MNP-23-1164
1720,MNP-23-1164
1721,MNP-23-1164
