unique_id,unique_reserve,protection_status,depth,visibility,relief_mean,biotic_reef,,,,,,,,,,,
FP_2018_BR_01_ABAA_010,Abrolhos,closed,4,5,3,0,,,,,,,,,,,
FP_2018_BR_01_ABAA_014,Abrolhos,closed,4,5,0,0,,,,,,,,,,,
FP_2018_BR_01_ABAA_019,Abrolhos,closed,4,5,0,0,,,,,,,,,,,
FP_2018_BR_01_ABAA_007,Abrolhos,closed,5,3,1.5,70,,,,,,,,,,,
FP_2018_BR_01_ABAA_013,Abrolhos,closed,5,5,0,0,,,,,,,,,,,
FP_2018_BR_01_ABAA_017,Abrolhos,closed,5,5,1.8,0,,,,,,,,,,,
FP_2018_BR_01_ABAA_003,Abrolhos,closed,7,5,1,37,,,,,,,,,,,
FP_2018_BR_01_ABAA_008,Abrolhos,closed,7,5,1.2222,33,,,,,,,,,,,
FP_2018_BR_01_ABAA_012,Abrolhos,closed,7,3,1,0,,,,,,,,,,,
FP_2018_BR_01_ABAA_002,Abrolhos,closed,8,5,1.4667,0,,,,,,,,,,,
FP_2018_BR_01_ABAA_009,Abrolhos,closed,8,3,0,0,,,,,,,,,,,
FP_2018_BR_01_ABAA_016,Abrolhos,closed,8,3,0.6,0,,,,,,,,,,,
FP_2018_BR_01_ABAA_024,Abrolhos,closed,8,5,2,100,,,,,,,,,,,
FP_2018_BR_01_ABPA_051,Abrolhos,closed,8,7,NA,100,,,,,,,,,,,
FP_2018_BR_01_ABPA_078,Abrolhos,closed,8,5,NA,NA,,,,,,,,,,,
FP_2018_BR_01_ABPA_077,Abrolhos,closed,9,5,NA,NA,,,,,,,,,,,
FP_2018_BR_01_ABAA_005,Abrolhos,closed,9.5,3,2,100,,,,,,,,,,,
FP_2018_BR_01_ABAA_011,Abrolhos,closed,9.8,5,2,100,,,,,,,,,,,
FP_2018_BR_01_ABAA_006,Abrolhos,closed,10,5,3,100,,,,,,,,,,,
FP_2018_BR_01_ABAA_018,Abrolhos,closed,10,5,0.4,50,,,,,,,,,,,
FP_2018_BR_01_ABAA_029,Abrolhos,closed,10,5,2,100,,,,,,,,,,,
FP_2018_BR_01_ABAA_021,Abrolhos,closed,11,3,0,0,,,,,,,,,,,
FP_2018_BR_01_ABAA_001,Abrolhos,closed,12,3,1,100,,,,,,,,,,,
FP_2018_BR_01_ABAA_020,Abrolhos,closed,12,5,2,100,,,,,,,,,,,
FP_2018_BR_01_ABAA_033,Abrolhos,closed,12.8,3,0,0,,,,,,,,,,,
FP_2018_BR_01_ABAA_023,Abrolhos,closed,13,5,2,100,,,,,,,,,,,
FP_2018_BR_01_ABAA_026,Abrolhos,closed,13,5,3,0,,,,,,,,,,,
FP_2018_BR_01_ABAA_027,Abrolhos,closed,13,3,1.9,100,,,,,,,,,,,
FP_2018_BR_01_ABAA_030,Abrolhos,closed,14.7,3,3,0,,,,,,,,,,,
FP_2018_BR_01_ABAA_022,Abrolhos,closed,15,3,0.4,100,,,,,,,,,,,
FP_2018_BR_01_ABAA_025,Abrolhos,closed,15,3,1,42,,,,,,,,,,,
FP_2018_BR_01_ABAA_032,Abrolhos,closed,15.2,3,0,0,,,,,,,,,,,
FP_2018_BR_01_ABAA_036,Abrolhos,closed,16.9,3,1,0,,,,,,,,,,,
FP_2018_BR_01_ABAA_015,Abrolhos,closed,17,3,2,100,,,,,,,,,,,
FP_2018_BR_01_ABAA_028,Abrolhos,closed,17,3,2,100,,,,,,,,,,,
FP_2018_BR_01_ABPA_063,Abrolhos,closed,17,5,0,0,,,,,,,,,,,
FP_2018_BR_01_ABPA_064,Abrolhos,closed,17,7,1,60,,,,,,,,,,,
FP_2018_BR_01_ABPA_076,Abrolhos,closed,17.3,5,3.8,14,,,,,,,,,,,
FP_2018_BR_01_ABAA_040,Abrolhos,closed,18,3,0,0,,,,,,,,,,,
FP_2018_BR_01_ABPA_054,Abrolhos,closed,18,5,0,0,,,,,,,,,,,
FP_2018_BR_01_ABAA_035,Abrolhos,closed,18.2,3,0,100,,,,,,,,,,,
FP_2018_BR_01_ABAA_034,Abrolhos,closed,18.5,3,1,100,,,,,,,,,,,
FP_2018_BR_01_ABPA_075,Abrolhos,closed,18.6,5,2,0,,,,,,,,,,,
FP_2018_BR_01_ABPA_067,Abrolhos,closed,18.9,5,0,0,,,,,,,,,,,
FP_2018_BR_01_ABPA_058,Abrolhos,closed,19,5,1,0,,,,,,,,,,,
FP_2018_BR_01_ABPA_059,Abrolhos,closed,19,5,0.4,40,,,,,,,,,,,
FP_2018_BR_01_ABPA_060,Abrolhos,closed,19,5,2.3636,0,,,,,,,,,,,
FP_2018_BR_01_ABPA_068,Abrolhos,closed,19.3,5,2.5556,50,,,,,,,,,,,
FP_2018_BR_01_ABPA_066,Abrolhos,closed,19.4,5,0,0,,,,,,,,,,,
FP_2018_BR_01_ABAA_038,Abrolhos,closed,19.5,3,0,0,,,,,,,,,,,
FP_2018_BR_01_ABPA_053,Abrolhos,closed,20,5,0,0,,,,,,,,,,,
FP_2018_BR_01_ABPA_055,Abrolhos,closed,20,5,2,76,,,,,,,,,,,
FP_2018_BR_01_ABPA_062,Abrolhos,closed,20,7,0,0,,,,,,,,,,,
FP_2018_BR_01_ABAA_039,Abrolhos,closed,20.1,3,3,100,,,,,,,,,,,
FP_2018_BR_01_ABPA_073,Abrolhos,closed,21.6,5,2,100,,,,,,,,,,,
FP_2018_BR_01_ABPA_069,Abrolhos,closed,22.7,5,3,25,,,,,,,,,,,
FP_2018_BR_01_ABPA_070,Abrolhos,closed,23,5,0.3,0,,,,,,,,,,,
FP_2018_BR_01_ABPA_047,Abrolhos,closed,24,3,0.4,60,,,,,,,,,,,
FP_2018_BR_01_ABPA_056,Abrolhos,closed,24,5,1,70,,,,,,,,,,,
FP_2018_BR_01_ABPA_046,Abrolhos,closed,25.5,5,0.9,0,,,,,,,,,,,
FP_2018_BR_01_ABPA_072,Abrolhos,closed,26,5,2.5,0,,,,,,,,,,,
FP_2018_BR_01_ABPA_041,Abrolhos,closed,27.5,5,0,0,,,,,,,,,,,
FP_2018_BR_01_ABPP_090,Abrolhos,open,7,3,NA,NA,,,,,,,,,,,
FP_2018_BR_01_ABPP_091,Abrolhos,open,7,3,NA,NA,,,,,,,,,,,
FP_2018_BR_01_ABPP_093,Abrolhos,open,7,7,3.8,100,,,,,,,,,,,
FP_2018_BR_01_ABPP_110,Abrolhos,open,7.2,3,0,0,,,,,,,,,,,
FP_2018_BR_01_ABPP_092,Abrolhos,open,7.7,3,2.7778,0,,,,,,,,,,,
FP_2018_BR_01_ABPP_109,Abrolhos,open,7.9,3,2.8125,0,,,,,,,,,,,
FP_2018_BR_01_ABPP_087,Abrolhos,open,8,7,3.8889,0,,,,,,,,,,,
