unique_reserve,fpa_n,fpa_mean,fpa_sd,fpa_se,open_n,open_mean,open_sd,open_se,es,var,variable
Abrolhos,62,0.268064516,1.535754035,0.195040957,28,0.01,0.1,0.01,3.28864259,4.100815216,sharks
Apo,53,0.293018868,0.743623108,0.102144489,36,0.01,0.1,0.01,3.37765191,2.899295246,sharks
Ashmore Reef,27,1.407407407,1.448055972,0.278678502,98,0.979591837,2.292882721,0.231616131,0.362368581,0.095111898,sharks
Balls Pyramid,12,5.916666667,2.937479852,0.847977392,12,4.916666667,3.396745323,0.980555913,0.185142433,0.060315017,sharks
Bazaruto,41,0.536585366,0.951250781,0.148560413,28,0.285714286,0.534522484,0.101015254,0.630233355,0.201652893,sharks
Bird Cay,18,1.555555556,2.148110585,0.50631452,32,1.40625,2.949678769,0.521434465,0.100906165,0.243433416,sharks
Buccoo,26,0.423076923,1.064822123,0.208828799,21,0.428571429,1.121223821,0.244671097,-0.012903405,0.56956229,sharks
Bundegi,6,0.333333333,0.516397779,0.210818511,10,0.3,0.674948558,0.213437475,0.105360516,0.90617284,sharks
Caye Caulker,81,0.37037037,0.641179469,0.071242163,80,0.1125,0.355561599,0.039752995,1.191550284,0.16186326,sharks
Cloates,13,1,0.912870929,0.253184842,9,1.222222222,0.971825316,0.323941772,-0.200670695,0.134350498,sharks
Conception Island,31,1.161290323,1.293490734,0.232317794,44,0.5,0.762492852,0.114950122,0.842678915,0.092874699,sharks
Corals Rosario and San Bernardo,95,0.115789474,0.321669776,0.033002623,99,0.01010101,0.100503782,0.01010101,2.439138231,1.081237911,sharks
East Coast,14,5,3.088439985,0.825420306,22,4.318181818,2.714798311,0.578796945,0.146603474,0.045218715,sharks
Easter Group,10,0.31,0.483045892,0.152752523,19,0.01,0.1,0.01,3.433987204,5.505960531,sharks
Exuma Cays,29,1.862068966,1.746918469,0.324394616,64,1.890625,1.404269991,0.175533749,-0.015219246,0.038969858,sharks
Fernando de Noronha,31,1.451612903,1.709555686,0.307045265,24,0.625,0.875388113,0.17868785,0.842678915,0.126479871,sharks
Gili Matra,40,0.25,0.493548117,0.078036809,108,0.083333333,0.277673916,0.026719185,1.098612289,0.200239636,sharks
Glover's Reef,35,1.467142857,1.120474089,0.189394689,40,0.01,0.1,0.01,4.988487061,2.516664442,sharks
Halfmoon Cay,36,1.333333333,1.121223821,0.186870637,27,0.703703704,0.868899163,0.167219722,0.639079959,0.076109936,sharks
iSimangaliso,48,0.75,1,0.144337567,45,0.755555556,1.003529126,0.14959729,-0.007380107,0.076239616,sharks
Jardines de la Reina,49,1,0.790569415,0.112938488,10,0.4,0.516397779,0.163299316,0.916290732,0.179421769,sharks
Kapoposang 1,5,0.01,0.1,0.01,59,0.247288136,0.536237951,0.069812235,-3.207969105,20.07969967,sharks
Kapoposang 2,7,0.01,0.1,0.01,119,0.110840336,0.30239042,0.027720084,-2.40550566,14.34825941,sharks
Kisite,20,0.01,0.1,0.01,19,0.01,0.1,0.01,0,10.26315789,sharks
La Caleta,40,0.05,0.220721428,0.034899122,44,0.022727273,0.150755672,0.022727273,0.78845736,1.487179487,sharks
Lighthouse,15,0.866666667,0.915475416,0.236374736,9,0.666666667,0.707106781,0.23570226,0.262364264,0.199387151,sharks
Man o War Shoal,17,0.470588235,0.799816155,0.193983911,52,0.192307692,0.486623482,0.067482535,0.894886823,0.29305913,sharks
Mandu,8,0.25,0.707106781,0.25,5,0.6,1.341640786,0.6,-0.875468737,2,sharks
Maud,14,0.938571429,1.071611706,0.286400275,5,0.01,0.1,0.01,4.541773869,20.0931134,sharks
MNP-11-1004,38,1.236842105,0.942515625,0.152896224,26,1,0.894427191,0.175411604,0.212561442,0.046050696,sharks
MNP-13-1019,51,1.823529412,1.621183301,0.227011069,50,1.74,1.242282297,0.175685247,0.046888747,0.02569239,sharks
MNP-18-1081,92,1.75,1.457266748,0.151930561,101,0.702970297,0.943870271,0.093918602,0.912056428,0.025386905,sharks
MNP-18-1084,15,1.2,0.861891607,0.222539456,103,0.669902913,0.900853076,0.088763691,0.58294404,0.0519484,sharks
MNP-23-1164,19,0.947368421,1.025978352,0.235375577,24,0.416666667,0.775531608,0.158304727,0.821401516,0.206076221,sharks
Namena,31,1.387096774,1.054432528,0.189381673,28,0.285714286,0.460043706,0.086940088,1.57997588,0.111233299,sharks
