trip_set_code,region_name,region_id,location_name,location_code,location_id,site_name,site_code,site_type,site_id,reef_name,reef_code,reef_type,reef_id,trip_year,trip_code,set_code,set_id,set_latitude,set_longitude,team,set_date,drop_time,haul_time,shark_id,common_name,latin_name,family,species_group,functional_group,maxn,min_event_time_milli,min_event_time_mins,equipment_frame_type,equipment_camera,equipment_stereo_camera,equipment_camera_height,equipment_arm_length,video_filename,video_source,video_filepath,splendor_image_url,total_assignments,reviewed_assignments,has_complete_master,depth,bait,bait_oiled,current_flow_estimated,current_flow_instrumented,visibility,field_of_view,substrate_relief_sd,substrate_relief_mean,ascidians,bleached_corals,bryozoa,consolidated,crinoids,halimeda,hard_coral,hydrocoral,hydroids,invertebrate_complex,macroalgae,mangrove,seagrass,soft_coral,sponge,true_anemones,unconsolidated,zoanthids,mark_zero_time,mark_60_mins,mark_90_mins,mark_haul_time,mark_stopped_reading,video_length_watched,protection_status,mpa_name,mpa_area,mpa_year_founded,mpa_isolation,mpa_compliance,bait_family,PI,Remote,Shark_Protection_Status,Shark_fishing_restrictions,Shark_gears,Datasheet_Source,set_productivity_2017ave,local_population_2010,local_population_2015,population_proporationaldifference_2010.15,drop_hr,unique_id,unique_reserve
FP_2015_BS_01_EXM_001,Western Atlantic,1,Bahamas,BS,3,Exumas,EX,I,28,Middle,M,slope,66,2015,FP_2015_BS_01,EXM_001,2958,24.0,-76.0,SBU,31/05/2015,14:31:00,16:07:00,26,Yellow round ray,Urobatis jamaicensis,Urotrygonidae,Ray,small_ray,1,NA,NA,Rebar,GoPro Hero 3,FALSE,100,100,FP_2015_BS_01_EXM_001.mp4,,,NA,1,1,1,11,bonito,FALSE,,NA,9,Open,0.8756,2.1,0,0,0,0,0,0,0,0,0,0,11,0,0,66,11,0,11,0,102275,3702033,NA,NA,NA,3599758,closed,Exuma Cays Land and Sea Park,455.8,1986,continuous,high,Scombridae,Chapman,No,Closed,Area; Gear; Species,NA,Additional Reef Covariates - Master_GinaEdits,0.57693125,378188.0847,409491.2628,0.082771455,14,FP_2015_BS_01_EXM_001,Exuma Cays
FP_2015_BS_01_EXM_001,Western Atlantic,1,Bahamas,BS,3,Exumas,EX,I,28,Middle,M,slope,66,2015,FP_2015_BS_01,EXM_001,2958,24.0,-76.0,SBU,31/05/2015,14:31:00,16:07:00,24,Caribbean reef shark,Carcharhinus perezi,Carcharhinidae,Shark,reef_meso,1,NA,NA,Rebar,GoPro Hero 3,FALSE,100,100,FP_2015_BS_01_EXM_001.mp4,,,NA,1,1,1,11,bonito,FALSE,,NA,9,Open,0.8756,2.1,0,0,0,0,0,0,0,0,0,0,11,0,0,66,11,0,11,0,102275,3702033,NA,NA,NA,3599758,closed,Exuma Cays Land and Sea Park,455.8,1986,continuous,high,Scombridae,Chapman,No,Closed,Area; Gear; Species,NA,Additional Reef Covariates - Master_GinaEdits,0.57693125,378188.0847,409491.2628,0.082771455,14,FP_2015_BS_01_EXM_001,Exuma Cays
FP_2015_BS_01_EXM_001,Western Atlantic,1,Bahamas,BS,3,Exumas,EX,I,28,Middle,M,slope,66,2015,FP_2015_BS_01,EXM_001,2958,24.0,-76.0,SBU,31/05/2015,14:31:00,16:07:00,23,Nurse shark,Ginglymostoma cirratum,Ginglymostomatidae,Shark,benthic_rover,1,NA,NA,Rebar,GoPro Hero 3,FALSE,100,100,FP_2015_BS_01_EXM_001.mp4,,,NA,1,1,1,11,bonito,FALSE,,NA,9,Open,0.8756,2.1,0,0,0,0,0,0,0,0,0,0,11,0,0,66,11,0,11,0,102275,3702033,NA,NA,NA,3599758,closed,Exuma Cays Land and Sea Park,455.8,1986,continuous,high,Scombridae,Chapman,No,Closed,Area; Gear; Species,NA,Additional Reef Covariates - Master_GinaEdits,0.57693125,378188.0847,409491.2628,0.082771455,14,FP_2015_BS_01_EXM_001,Exuma Cays
FP_2015_BS_01_EXM_003,Western Atlantic,1,Bahamas,BS,3,Exumas,EX,I,28,Middle,M,slope,66,2015,FP_2015_BS_01,EXM_003,2960,24.0,-76.0,SBU,31/05/2015,12:33:00,14:14:00,9999,,,,,,0,NA,NA,Rebar,GoPro Hero 3,FALSE,100,100,FP_2015_BS_01_EXM_003.mp4,,,NA,1,1,1,13.2,bonito,FALSE,,NA,10,Open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,92023,3692853,NA,NA,NA,3600830,closed,Exuma Cays Land and Sea Park,455.8,1986,continuous,high,Scombridae,Chapman,No,Closed,Area; Gear; Species,NA,Additional Reef Covariates - Master_GinaEdits,0.57693125,378189.1112,409449.6719,0.082658543,12,FP_2015_BS_01_EXM_003,Exuma Cays
FP_2015_BS_01_EXM_004,Western Atlantic,1,Bahamas,BS,3,Exumas,EX,I,28,Middle,M,slope,66,2015,FP_2015_BS_01,EXM_004,2961,24.0,-76.0,SBU,31/05/2015,12:26:00,14:08:00,24,Caribbean reef shark,Carcharhinus perezi,Carcharhinidae,Shark,reef_meso,3,NA,NA,Rebar,GoPro Hero 3,FALSE,100,100,FP_2015_BS_01_EXM_004.mp4,,,NA,1,1,1,14.4,bonito,FALSE,,NA,9,Open,0.8233,0.7,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,70,0,91808,3691114,NA,NA,NA,3599306,closed,Exuma Cays Land and Sea Park,455.8,1986,continuous,high,Scombridae,Chapman,No,Closed,Area; Gear; Species,NA,Additional Reef Covariates - Master_GinaEdits,0.57693125,378221.6997,409414.8803,0.08247327,12,FP_2015_BS_01_EXM_004,Exuma Cays
FP_2015_BS_01_EXM_005,Western Atlantic,1,Bahamas,BS,3,Exumas,EX,I,28,Middle,M,slope,66,2015,FP_2015_BS_01,EXM_005,2962,24.0,-76.0,SBU,31/05/2015,14:51:00,16:24:00,24,Caribbean reef shark,Carcharhinus perezi,Carcharhinidae,Shark,reef_meso,2,NA,NA,Rebar,GoPro Hero 3,FALSE,100,100,FP_2015_BS_01_EXM_005.mp4,,,NA,1,1,1,12.3,bonito,FALSE,,NA,9,Open,1.215,1.1429,0,0,0,42,0,0,0,0,0,0,0,0,0,14,0,0,42,0,116748,3716804,NA,NA,NA,3600056,closed,Exuma Cays Land and Sea Park,455.8,1986,continuous,high,Scombridae,Chapman,No,Closed,Area; Gear; Species,NA,Additional Reef Covariates - Master_GinaEdits,0.57693125,344739.0211,373636.2178,0.0838234,14,FP_2015_BS_01_EXM_005,Exuma Cays
FP_2015_BS_01_EXM_005,Western Atlantic,1,Bahamas,BS,3,Exumas,EX,I,28,Middle,M,slope,66,2015,FP_2015_BS_01,EXM_005,2962,24.0,-76.0,SBU,31/05/2015,14:51:00,16:24:00,23,Nurse shark,Ginglymostoma cirratum,Ginglymostomatidae,Shark,benthic_rover,1,NA,NA,Rebar,GoPro Hero 3,FALSE,100,100,FP_2015_BS_01_EXM_005.mp4,,,NA,1,1,1,12.3,bonito,FALSE,,NA,9,Open,1.215,1.1429,0,0,0,42,0,0,0,0,0,0,0,0,0,14,0,0,42,0,116748,3716804,NA,NA,NA,3600056,closed,Exuma Cays Land and Sea Park,455.8,1986,continuous,high,Scombridae,Chapman,No,Closed,Area; Gear; Species,NA,Additional Reef Covariates - Master_GinaEdits,0.57693125,344739.0211,373636.2178,0.0838234,14,FP_2015_BS_01_EXM_005,Exuma Cays
FP_2015_BS_01_EXM_006,Western Atlantic,1,Bahamas,BS,3,Exumas,EX,I,28,Middle,M,slope,66,2015,FP_2015_BS_01,EXM_006,2963,24.0,-76.0,SBU,31/05/2015,14:46:00,16:19:00,26,Yellow round ray,Urobatis jamaicensis,Urotrygonidae,Ray,small_ray,1,NA,NA,Rebar,GoPro Hero 3,FALSE,100,100,FP_2015_BS_01_EXM_006.mp4,,,NA,1,1,1,15,bonito,FALSE,,NA,10,Open,1.0269,1.3636,0,0,0,10,0,0,0,0,10,0,10,0,0,20,0,0,50,0,192626,3792491,NA,NA,NA,3599865,closed,Exuma Cays Land and Sea Park,455.8,1986,continuous,high,Scombridae,Chapman,No,Closed,Area; Gear; Species,NA,Additional Reef Covariates - Master_GinaEdits,0.57693125,363233.3351,393530.0791,0.08340849,14,FP_2015_BS_01_EXM_006,Exuma Cays
FP_2015_BS_01_EXM_006,Western Atlantic,1,Bahamas,BS,3,Exumas,EX,I,28,Middle,M,slope,66,2015,FP_2015_BS_01,EXM_006,2963,24.0,-76.0,SBU,31/05/2015,14:46:00,16:19:00,28,Southern stingray,Hypanus americanus,Dasyatidae,Ray,large_ray,1,NA,NA,Rebar,GoPro Hero 3,FALSE,100,100,FP_2015_BS_01_EXM_006.mp4,,,NA,1,1,1,15,bonito,FALSE,,NA,10,Open,1.0269,1.3636,0,0,0,10,0,0,0,0,10,0,10,0,0,20,0,0,50,0,192626,3792491,NA,NA,NA,3599865,closed,Exuma Cays Land and Sea Park,455.8,1986,continuous,high,Scombridae,Chapman,No,Closed,Area; Gear; Species,NA,Additional Reef Covariates - Master_GinaEdits,0.57693125,363233.3351,393530.0791,0.08340849,14,FP_2015_BS_01_EXM_006,Exuma Cays
FP_2015_BS_01_EXM_006,Western Atlantic,1,Bahamas,BS,3,Exumas,EX,I,28,Middle,M,slope,66,2015,FP_2015_BS_01,EXM_006,2963,24.0,-76.0,SBU,31/05/2015,14:46:00,16:19:00,24,Caribbean reef shark,Carcharhinus perezi,Carcharhinidae,Shark,reef_meso,1,NA,NA,Rebar,GoPro Hero 3,FALSE,100,100,FP_2015_BS_01_EXM_006.mp4,,,NA,1,1,1,15,bonito,FALSE,,NA,10,Open,1.0269,1.3636,0,0,0,10,0,0,0,0,10,0,10,0,0,20,0,0,50,0,192626,3792491,NA,NA,NA,3599865,closed,Exuma Cays Land and Sea Park,455.8,1986,continuous,high,Scombridae,Chapman,No,Closed,Area; Gear; Species,NA,Additional Reef Covariates - Master_GinaEdits,0.57693125,363233.3351,393530.0791,0.08340849,14,FP_2015_BS_01_EXM_006,Exuma Cays
FP_2015_BS_01_EXM_007,Western Atlantic,1,Bahamas,BS,3,Exumas,EX,I,28,Middle,M,slope,66,2015,FP_2015_BS_01,EXM_007,2964,24.0,-76.0,SBU,31/05/2015,14:38:00,16:13:00,24,Caribbean reef shark,Carcharhinus perezi,Carcharhinidae,Shark,reef_meso,1,NA,NA,Rebar,GoPro Hero 3,FALSE,100,100,FP_2015_BS_01_EXM_007.mp4,,,NA,1,1,1,12.4,bonito,FALSE,,NA,10,Open,0.4216,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,93061,3693373,NA,NA,NA,3600312,closed,Exuma Cays Land and Sea Park,455.8,1986,continuous,high,Scombridae,Chapman,No,Closed,Area; Gear; Species,NA,Additional Reef Covariates - Master_GinaEdits,0.57693125,375477.4207,406654.8365,0.083034063,14,FP_2015_BS_01_EXM_007,Exuma Cays
