"","X.Intercept.","s.log_Grav_Total_plus_min..k...3..bs....cr..","s.sqrt_live_coral..k...3..bs....cr..","s.log_depth..k...3..bs....cr..","s.HDI..k...3..bs....cr..","s.Voice_Accountability..k...3..bs....cr..","s.substrate_relief_mean..k...3..bs....cr..","s.visibility..k...3..bs....cr..","mixed_management","family","df","logLik","BIC","delta","weight"
"77",-1.6918527869935,NA,NA,"+","+",NA,NA,"+","+","Negative Binomial(1.233,log)",11,-7659.25241027423,15429.3033671437,0,0.586098936199912
"84",-1.69308986060153,NA,NA,"+","+",NA,"+","+","+","Negative Binomial(1.245,log)",13,-7650.91827419161,15431.3381861778,2.03481903404645,0.211892504410471
"83",-1.68257958203419,NA,"+","+","+",NA,NA,"+","+","Negative Binomial(1.242,log)",14,-7650.0246390584,15431.4372327996,2.13386565585461,0.201654488614668
"71",-1.66150615065896,NA,"+","+","+",NA,NA,NA,"+","Negative Binomial(1.234,log)",12,-7664.26587139898,15444.8489345698,15.5455674261084,0.000246770850280298
"76",-1.66947488059545,NA,NA,"+","+",NA,"+",NA,"+","Negative Binomial(1.236,log)",12,-7666.92768918526,15446.8826297503,17.5792626065941,8.92652776460158e-05
"52",-1.67432220907159,NA,NA,"+","+",NA,NA,NA,"+","Negative Binomial(1.22,log)",10,-7678.7286350703,15450.1554773613,20.8521102175964,1.73777174394732e-05
"60",-1.66177201574427,NA,NA,NA,"+",NA,NA,"+","+","Negative Binomial(1.207,log)",10,-7677.74426061235,15456.8931097031,27.5897425593994,5.98321291662466e-07
"74",-1.65314741040338,NA,"+",NA,"+",NA,NA,"+","+","Negative Binomial(1.213,log)",12,-7671.06754553531,15462.0806013995,32.7772342558128,4.4718265328879e-08
"80",-1.66157746773302,NA,NA,NA,"+",NA,"+","+","+","Negative Binomial(1.215,log)",12,-7672.17429806173,15464.4190528488,35.1156857050228,1.38898216135228e-08
"47",-1.62000253075972,NA,"+",NA,"+",NA,NA,NA,"+","Negative Binomial(1.195,log)",10,-7692.79680507296,15486.8191304559,57.5157633122126,1.89924774153656e-13
"59",-1.62652468835628,NA,NA,NA,"+",NA,"+",NA,"+","Negative Binomial(1.195,log)",10,-7695.75428979649,15493.3002491975,63.9968820537524,7.43403438685862e-15
"27",-1.63340814810695,NA,NA,NA,"+",NA,NA,NA,"+","Negative Binomial(1.183,log)",8,-7704.99143529096,15493.3667604104,64.0633932666642,7.19087665317366e-15
"79",-1.76310916265151,NA,NA,"+",NA,NA,"+","+","+","Negative Binomial(1.133,log)",11,-7721.49973162653,15554.1498246396,124.846457495854,4.54890791446999e-28
"57",-1.76670403374147,NA,NA,"+",NA,NA,NA,"+","+","Negative Binomial(1.122,log)",10,-7732.02115377512,15556.7785175293,127.47515038553,1.22206339872216e-28
"73",-1.76190897549203,NA,"+","+",NA,NA,NA,"+","+","Negative Binomial(1.125,log)",11,-7727.70097113613,15565.9455720684,136.642204924634,1.24880070773906e-30
"56",-1.74103091741231,NA,NA,"+",NA,NA,"+",NA,"+","Negative Binomial(1.118,log)",10,-7744.58713070088,15582.7398153342,153.436448190429,2.8162392511512e-34
"32",-1.73239521849047,NA,NA,NA,NA,NA,NA,"+","+","Negative Binomial(1.092,log)",8,-7751.99747714435,15587.3681286392,158.064761495512,2.78383879439982e-35
"45",-1.74358489836423,NA,"+","+",NA,NA,NA,NA,"+","Negative Binomial(1.109,log)",9,-7752.57163062522,15588.6517729864,159.348405842647,1.46522477819962e-35
"24",-1.75148072598396,NA,NA,"+",NA,NA,NA,NA,"+","Negative Binomial(1.108,log)",8,-7757.27915389462,15588.7900443066,159.486677162855,1.36734787066875e-35
"62",-1.72782172527291,NA,NA,NA,NA,NA,"+","+","+","Negative Binomial(1.098,log)",10,-7744.65473709495,15591.1465379411,161.843170797398,4.20894186884241e-36
"49",-1.72895146189878,NA,"+",NA,NA,NA,NA,"+","+","Negative Binomial(1.092,log)",10,-7749.3917438174,15599.8620658566,170.558698712866,5.39038875089513e-38
"31",-1.69399502814508,NA,NA,NA,NA,NA,"+",NA,"+","Negative Binomial(1.075,log)",8,-7773.60926574124,15630.4395600194,201.136192875656,1.23538292575365e-44
"9",-1.70587676052976,NA,NA,NA,NA,NA,NA,NA,"+","Negative Binomial(1.069,log)",7,-7784.20260795908,15633.2596786664,203.956311522647,3.01592551390197e-45
"19",-1.69846098612832,NA,"+",NA,NA,NA,NA,NA,"+","Negative Binomial(1.068,log)",8,-7780.67406018919,15635.5651142283,206.261747084534,9.5236108219217e-46
"64",-1.21852750836206,"+","+","+",NA,NA,NA,"+",NA,"Negative Binomial(1.037,log)",9,-7774.61400528098,15636.7694526579,207.466085514186,5.21534295817678e-46
"81",-1.22116409386269,"+","+","+","+",NA,NA,"+",NA,"Negative Binomial(1.039,log)",10,-7771.81478486649,15643.0287265678,213.725359424081,2.28086096548833e-47
"68",-1.2182568150198,"+",NA,"+",NA,NA,"+","+",NA,"Negative Binomial(1.045,log)",9,-7777.51270647726,15644.7039882891,215.400621145329,9.87007271309284e-48
"38",-1.2142186874224,"+",NA,"+",NA,NA,NA,"+",NA,"Negative Binomial(1.033,log)",7,-7788.66918467138,15649.8894410746,220.586073930866,7.38437233669067e-49
"35",-1.21497066219292,"+","+",NA,NA,NA,NA,"+",NA,"Negative Binomial(1.011,log)",7,-7789.46864166762,15650.2835411405,220.980173996761,6.06367400471295e-49
"82",-1.22103950680736,"+",NA,"+","+",NA,"+","+",NA,"Negative Binomial(1.048,log)",11,-7773.8649194013,15654.7246868378,225.421319694033,6.5819307683514e-50
"67",-1.21679514475575,"+",NA,"+","+",NA,NA,"+",NA,"Negative Binomial(1.035,log)",9,-7785.75534250965,15654.9217279066,225.61836076291,5.96439483460808e-50
"65",-1.21712791720117,"+","+",NA,"+",NA,NA,"+",NA,"Negative Binomial(1.012,log)",8,-7787.34410704798,15656.6574868364,227.35411969272,2.50409685547712e-50
"41",-1.21442055565511,"+",NA,NA,NA,NA,"+","+",NA,"Negative Binomial(1.015,log)",7,-7792.50303577826,15657.5510861248,228.247718981116,1.60180078758379e-50
"33",-1.21629627640561,"+","+","+",NA,NA,NA,NA,NA,"Negative Binomial(1.019,log)",7,-7793.09601240295,15658.9464003433,229.643033199543,7.97296522865942e-51
"14",-1.21051794910314,"+",NA,NA,NA,NA,NA,"+",NA,"Negative Binomial(1.005,log)",5,-7802.34052542164,15659.3155992149,230.012232071209,6.62902037282056e-51
"69",-1.21685588986165,"+",NA,NA,"+",NA,"+","+",NA,"Negative Binomial(1.017,log)",9,-7790.00211674937,15664.3975166782,235.09414953445,5.22305979565302e-52
"40",-1.21277146173667,"+",NA,NA,"+",NA,NA,"+",NA,"Negative Binomial(1.006,log)",6,-7800.02392808371,15664.6618132392,235.358446095435,4.57650276228406e-52
"63",-1.21755132751995,"+","+","+","+",NA,NA,NA,NA,"Negative Binomial(1.02,log)",8,-7791.83133848531,15665.6739578465,236.370590702818,2.75898487657214e-52
"37",-1.21350743111752,"+",NA,"+",NA,NA,"+",NA,NA,"Negative Binomial(1.019,log)",7,-7805.06898580067,15683.8956758994,254.592308755628,3.04756880396881e-56
"10",-1.21020417492285,"+","+",NA,NA,NA,NA,NA,NA,"Negative Binomial(0.981,log)",5,-7815.82130938785,15686.8697526115,257.566385467737,6.88875861112681e-57
"66",-1.21491102564585,"+",NA,"+","+",NA,"+",NA,NA,"Negative Binomial(1.02,log)",8,-7803.58965116435,15690.4910256647,261.187658520992,1.1266564690135e-57
"34",-1.21092147384437,"+","+",NA,"+",NA,NA,NA,NA,"Negative Binomial(0.981,log)",6,-7815.30750878297,15695.2138662677,265.910499123936,1.06228172045199e-58
"11",-1.20771677914955,"+",NA,"+",NA,NA,NA,NA,NA,"Negative Binomial(1.001,log)",5,-7821.40218916422,15698.2345483561,268.931181212358,2.34588612719252e-59
"36",-1.20885960232019,"+",NA,"+","+",NA,NA,NA,NA,"Negative Binomial(1.002,log)",6,-7820.35392909163,15705.550029907,276.246662763246,6.0502078115161e-61
"13",-1.20635650328487,"+",NA,NA,NA,NA,"+",NA,NA,"Negative Binomial(0.975,log)",5,-7828.93294690603,15713.4057248615,284.102357717729,1.19104400331168e-62
"39",-1.20724289657865,"+",NA,NA,"+",NA,"+",NA,NA,"Negative Binomial(0.975,log)",7,-7828.2489708141,15721.3906477436,292.087280599872,2.19798049316968e-64
"2",-1.2005816872614,"+",NA,NA,NA,NA,NA,NA,NA,"Negative Binomial(0.958,log)",3,-7844.04373268846,15725.1240798823,295.82071273857,3.3987509782048e-65
"12",-1.20126090870064,"+",NA,NA,"+",NA,NA,NA,NA,"Negative Binomial(0.957,log)",5,-7843.60085864824,15733.5435360037,304.240168859998,5.04728325918283e-67
"78",-1.13589367243038,NA,NA,"+",NA,"+","+","+",NA,"Negative Binomial(0.803,log)",8,-7978.0625207069,16030.2687128568,600.965345713075,1.86210516179785e-131
"61",-1.13326090246788,NA,NA,NA,NA,"+","+","+",NA,"Negative Binomial(0.798,log)",6,-7985.47380942504,16035.6877639897,606.384396845977,1.23957326799685e-132
"53",-1.13346945538269,NA,NA,"+",NA,"+","+",NA,NA,"Negative Binomial(0.808,log)",6,-7985.84707118432,16036.2993448251,606.995977681327,9.12996496266703e-133
"72",-1.13453459743616,NA,"+","+",NA,"+",NA,"+",NA,"Negative Binomial(0.806,log)",8,-7979.03516627517,16040.4437136371,611.140346493372,1.14955791987975e-133
"43",-1.13101741914985,NA,"+","+",NA,"+",NA,NA,NA,"Negative Binomial(0.813,log)",6,-7989.56396950002,16043.5764140103,614.273046866523,2.40034471284077e-134
"48",-1.13186724531333,NA,"+",NA,NA,"+",NA,"+",NA,"Negative Binomial(0.801,log)",7,-7986.73316210898,16046.3883921117,617.085024968019,5.88383287851756e-135
"28",-1.12904905624002,NA,NA,NA,NA,"+","+",NA,NA,"Negative Binomial(0.801,log)",5,-7997.57805899022,16050.2479887574,620.944621613664,8.54199997769517e-136
