"","X.Intercept.","s.log_Grav_Total_plus_min..k...3..bs....cr..","s.sqrt_live_coral..k...3..bs....cr..","s.log_depth..k...3..bs....cr..","s.HDI..k...3..bs....cr..","s.Voice_Accountability..k...3..bs....cr..","s.substrate_relief_mean..k...3..bs....cr..","s.visibility..k...3..bs....cr..","mixed_management","family","df","logLik","AICc","delta","weight"
"83",-1.68257958203419,NA,"+","+","+",NA,NA,"+","+","Negative Binomial(1.242,log)",14,-7650.0246390584,15328.4525558456,0,0.665444163817833
"84",-1.69308986060153,NA,NA,"+","+",NA,"+","+","+","Negative Binomial(1.245,log)",13,-7650.91827419161,15329.8315041014,1.37894825581316,0.333946434814539
"77",-1.6918527869935,NA,NA,"+","+",NA,NA,"+","+","Negative Binomial(1.233,log)",11,-7659.25241027423,15342.4520603784,13.9995045327814,0.000606956877063299
"71",-1.66150615065896,NA,"+","+","+",NA,NA,NA,"+","Negative Binomial(1.234,log)",12,-7664.26587139898,15353.6731645799,25.2206087343093,2.22088473338059e-06
"76",-1.66947488059545,NA,NA,"+","+",NA,"+",NA,"+","Negative Binomial(1.236,log)",12,-7666.92768918526,15358.2848723308,29.8323164851681,2.21363699646415e-07
"74",-1.65314741040338,NA,"+",NA,"+",NA,NA,"+","+","Negative Binomial(1.213,log)",12,-7671.06754553531,15368.0617197252,39.6091638795788,1.6675964719716e-09
"80",-1.66157746773302,NA,NA,NA,"+",NA,"+","+","+","Negative Binomial(1.215,log)",12,-7672.17429806173,15370.3022655507,41.849709705124,5.43954561982216e-10
"60",-1.66177201574427,NA,NA,NA,"+",NA,NA,"+","+","Negative Binomial(1.207,log)",10,-7677.74426061235,15377.403308664,48.950752818364,1.56167516366064e-11
"52",-1.67432220907159,NA,NA,"+","+",NA,NA,NA,"+","Negative Binomial(1.22,log)",10,-7678.7286350703,15377.488716354,49.0361605084308,1.49638952442889e-11
"47",-1.62000253075972,NA,"+",NA,"+",NA,NA,NA,"+","Negative Binomial(1.195,log)",10,-7692.79680507296,15407.4696586559,79.0171028103032,4.62131697027922e-18
"59",-1.62652468835628,NA,NA,NA,"+",NA,"+",NA,"+","Negative Binomial(1.195,log)",10,-7695.75428979649,15413.507107182,85.0545513363759,2.25813793912069e-19
"27",-1.63340814810695,NA,NA,NA,"+",NA,NA,NA,"+","Negative Binomial(1.183,log)",8,-7704.99143529096,15427.9998398739,99.5472840283383,1.6095095188946e-22
"79",-1.76310916265151,NA,NA,"+",NA,NA,"+","+","+","Negative Binomial(1.133,log)",11,-7721.49973162653,15467.0228284087,138.57027256312,5.40703593011309e-31
"73",-1.76190897549203,NA,"+","+",NA,NA,NA,"+","+","Negative Binomial(1.125,log)",11,-7727.70097113613,15479.2940238076,150.841467961993,1.17031570066464e-33
"57",-1.76670403374147,NA,NA,"+",NA,NA,NA,"+","+","Negative Binomial(1.122,log)",10,-7732.02115377512,15484.0819736902,155.629417844584,1.06810248293476e-34
"56",-1.74103091741231,NA,NA,"+",NA,NA,"+",NA,"+","Negative Binomial(1.118,log)",10,-7744.58713070088,15509.3933147006,180.940758855,3.40663072784202e-40
"62",-1.72782172527291,NA,NA,NA,NA,NA,"+","+","+","Negative Binomial(1.098,log)",10,-7744.65473709495,15511.317822277,182.865266431405,1.30143819692847e-40
"49",-1.72895146189878,NA,"+",NA,NA,NA,NA,"+","+","Negative Binomial(1.092,log)",10,-7749.3917438174,15520.627747356,192.175191510423,1.23822339312282e-42
"32",-1.73239521849047,NA,NA,NA,NA,NA,NA,"+","+","Negative Binomial(1.092,log)",8,-7751.99747714435,15522.0096062854,193.557050439829,6.20486233991457e-43
"45",-1.74358489836423,NA,"+","+",NA,NA,NA,NA,"+","Negative Binomial(1.109,log)",9,-7752.57163062522,15523.1871809185,194.734625072864,3.44369807768377e-43
"24",-1.75148072598396,NA,NA,"+",NA,NA,NA,NA,"+","Negative Binomial(1.108,log)",8,-7757.27915389462,15530.5962464844,202.14369063877,8.47553111364889e-45
"81",-1.22116409386269,"+","+","+","+",NA,NA,"+",NA,"Negative Binomial(1.039,log)",10,-7771.81478486649,15565.1105177935,236.65796194792,2.71323952041616e-52
