latin_name,movement
Atelomycterus fasciatus,Reef Associated
Atelomycterus macleayi,Reef Associated
Carcharhinus amblyrhynchos,Reef Associated
Carcharhinus galapagensis,Reef Associated
Carcharhinus melanopterus,Reef Associated
Carcharhinus perezi,Reef Associated
Chiloscyllium punctatum,Reef Associated
Eucrossorhinus dasypogon,Reef Associated
Ginglymostoma cirratum,Reef Associated
Hemiscyllium ocellatum,Reef Associated
Heterodontus portusjacksoni,Reef Associated
Nebrius ferrugineus,Reef Associated
Negaprion acutidens,Reef Associated
Negaprion brevirostris,Reef Associated
Orectolobus hutchinsi,Reef Associated
Orectolobus ornatus,Reef Associated
Stegostoma fasciatum,Reef Associated
Triaenodon obesus,Reef Associated
Alopias sp.,Wide Ranging
Carcharhinus acronotus,Wide Ranging
Carcharhinus albimarginatus,Wide Ranging
Carcharhinus amboinensis,Wide Ranging
Carcharhinus dussumieri,Wide Ranging
Carcharhinus leucas,Wide Ranging
Carcharhinus limbatus,Wide Ranging
Carcharhinus macloti,Wide Ranging
Carcharhinus plumbeus,Wide Ranging
Carcharhinus sealei,Wide Ranging
Carcharhinus tilstoni/limbatus,Wide Ranging
Galeocerdo cuvier,Wide Ranging
Hemigaleus australiensis,Wide Ranging
Hemipristis elongata,Wide Ranging
Rhincodon typus,Wide Ranging
Rhizoprionodon acutus,Wide Ranging
Rhizoprionodon sp.,Wide Ranging
Rhizoprionodon taylori/acutus,Wide Ranging
Sphyrna lewini,Wide Ranging
Sphyrna mokarran,Wide Ranging
Sphyrna sp.,Wide Ranging
Sphyrna zygaena,Wide Ranging
